# #Data,#Feat,Runtime
128,13195,0.014599
151,13195,0.015737
194,13195,0.017673
237,13195,0.019550
279,13195,0.021481
322,13195,0.023347
365,13195,0.025501
408,13195,0.027445
451,13195,0.029311
494,13195,0.031089
537,13195,0.038798
580,13195,0.034906
623,13195,0.036750
666,13195,0.038819
709,13195,0.040882
752,13195,0.042723
795,13195,0.044558
837,13195,0.046429
880,13195,0.048655
923,13195,0.051187
966,13195,0.053319
1009,13195,0.055032
1052,13195,0.057806
1095,13195,0.058829
1138,13195,0.061719
1181,13195,0.063426
1224,13195,0.065501
1267,13195,0.067191
1310,13195,0.069322
1352,13195,0.071318
1395,13195,0.073639
1438,13195,0.076058
1481,13195,0.078459
1524,13195,0.079607
1567,13195,0.081235
1610,13195,0.084667
1653,13195,0.086300
1696,13195,0.089330
1739,13195,0.092441
1782,13195,0.093731
1825,13195,0.094513
1868,13195,0.098973
1910,13195,0.100512
1953,13195,0.105107
1996,13195,0.107908
2039,13195,0.106795
2082,13195,0.107612
2125,13195,0.111243
