# #Data,#Feat,Runtime
811,1001,0.004419
2431,1001,0.010573
4051,1001,0.017171
5671,1001,0.023960
7291,1001,0.031039
8911,1001,0.038081
10531,1001,0.045106
12152,1001,0.052683
13772,1001,0.063946
15392,1001,0.068638
17012,1001,0.077248
18632,1001,0.087336
20252,1001,0.096894
21872,1001,0.101638
23493,1001,0.113693
25113,1001,0.122451
26733,1001,0.129200
28353,1001,0.138555
29973,1001,0.148244
31593,1001,0.159200
33213,1001,0.168688
34834,1001,0.180677
36454,1001,0.189261
38074,1001,0.207098
39694,1001,0.234580
41314,1001,0.218001
42934,1001,0.227288
44554,1001,0.254518
46174,1001,0.271119
47795,1001,0.271059
49415,1001,0.281428
51035,1001,0.300481
52655,1001,0.301981
54275,1001,0.315137
55895,1001,0.343050
57515,1001,0.336687
59136,1001,0.334741
60756,1001,0.358856
62376,1001,0.366691
63996,1001,0.432169
65616,1001,0.387700
67236,1001,0.410949
68856,1001,0.435245
70477,1001,0.481760
72097,1001,0.468384
73717,1001,0.466283
75337,1001,0.529094
76957,1001,0.520309
78577,1001,0.549589
80197,1001,0.558834
