# #Data,#Feat,Runtime
128,3758,0.016740
145,3758,0.017853
167,3758,0.019199
189,3758,0.020825
211,3758,0.022306
233,3758,0.023781
256,3758,0.025045
278,3758,0.026442
300,3758,0.027795
322,3758,0.029269
344,3758,0.030810
366,3758,0.036156
389,3758,0.033621
411,3758,0.034918
433,3758,0.036376
455,3758,0.037867
477,3758,0.039343
500,3758,0.040882
522,3758,0.042183
544,3758,0.043576
566,3758,0.044995
588,3758,0.046246
610,3758,0.047786
633,3758,0.049333
655,3758,0.050759
677,3758,0.052011
699,3758,0.053433
721,3758,0.054842
744,3758,0.056506
766,3758,0.057709
788,3758,0.059549
810,3758,0.060600
832,3758,0.062105
854,3758,0.063791
877,3758,0.065395
899,3758,0.066671
921,3758,0.068368
943,3758,0.069283
965,3758,0.070640
988,3758,0.072397
1010,3758,0.073913
1032,3758,0.075020
1054,3758,0.076564
1076,3758,0.078084
1098,3758,0.079412
