# #Data,#Feat,Runtime
128,10935,0.063346
135,10935,0.064726
156,10935,0.076318
176,10935,0.086051
197,10935,0.099250
218,10935,0.110282
239,10935,0.120903
259,10935,0.132589
280,10935,0.147942
301,10935,0.156388
321,10935,0.166302
342,10935,0.180454
363,10935,0.190673
383,10935,0.201430
404,10935,0.219585
425,10935,0.232488
446,10935,0.247393
466,10935,0.256529
487,10935,0.263728
508,10935,0.279075
528,10935,0.289135
549,10935,0.302309
570,10935,0.314837
590,10935,0.324833
611,10935,0.337466
632,10935,0.347904
653,10935,0.360666
673,10935,0.375202
694,10935,0.385240
715,10935,0.394253
735,10935,0.406668
756,10935,0.423806
777,10935,0.442376
797,10935,0.457941
818,10935,0.468102
839,10935,0.483837
860,10935,0.495072
880,10935,0.504323
901,10935,0.516417
922,10935,0.526174
942,10935,0.540464
963,10935,0.553328
984,10935,0.565706
1004,10935,0.572873
1025,10935,0.588536
