# #Data,#Feat,Runtime
128,5,0.001258
141,5,0.001268
155,5,0.001286
168,5,0.001340
181,5,0.001305
195,5,0.001356
208,5,0.001389
222,5,0.001376
235,5,0.001401
248,5,0.001383
262,5,0.001438
275,5,0.001446
289,5,0.001500
302,5,0.001511
315,5,0.001498
329,5,0.001518
342,5,0.001541
356,5,0.001563
369,5,0.001604
382,5,0.001570
396,5,0.001615
409,5,0.001662
423,5,0.001631
436,5,0.001674
449,5,0.001686
463,5,0.001701
476,5,0.001692
490,5,0.001779
503,5,0.001721
516,5,0.001765
530,5,0.001824
543,5,0.001788
557,5,0.001813
570,5,0.001850
583,5,0.001869
597,5,0.001868
610,5,0.001868
624,5,0.001925
637,5,0.001902
650,5,0.001938
664,5,0.001958
