# #Data,#Feat,Runtime
128,36,0.001451
188,36,0.001591
263,36,0.001762
337,36,0.001915
412,36,0.002088
487,36,0.002244
562,36,0.002404
637,36,0.002557
712,36,0.002728
787,36,0.002872
862,36,0.003026
936,36,0.003219
1011,36,0.003394
1086,36,0.003539
1161,36,0.003716
1236,36,0.003940
1311,36,0.004065
1386,36,0.004231
1461,36,0.004381
1536,36,0.004581
1610,36,0.004750
1685,36,0.004923
1760,36,0.005146
1835,36,0.005333
1910,36,0.005470
1985,36,0.005646
2060,36,0.005845
2135,36,0.005974
2209,36,0.006172
2284,36,0.006286
2359,36,0.006517
2434,36,0.006696
2509,36,0.006823
2584,36,0.007045
2659,36,0.007170
2734,36,0.007334
2808,36,0.007528
2883,36,0.007765
2958,36,0.007886
3033,36,0.008104
3108,36,0.008196
3183,36,0.008411
3258,36,0.008532
3333,36,0.008715
3408,36,0.008898
3482,36,0.009117
3557,36,0.009236
3632,36,0.009459
3707,36,0.009598
