# #Data,#Feat,Runtime
128,69,0.001695
133,69,0.001717
148,69,0.001760
164,69,0.001793
179,69,0.001859
195,69,0.001928
210,69,0.001962
226,69,0.002042
241,69,0.002098
257,69,0.002175
272,69,0.002213
288,69,0.002260
304,69,0.002316
319,69,0.002364
335,69,0.002411
350,69,0.002485
366,69,0.002548
381,69,0.002590
397,69,0.002657
412,69,0.002706
428,69,0.002791
443,69,0.002839
459,69,0.002880
474,69,0.002930
490,69,0.002989
506,69,0.003084
521,69,0.003139
537,69,0.003183
552,69,0.003243
568,69,0.003308
583,69,0.003353
599,69,0.003416
614,69,0.003477
630,69,0.003538
645,69,0.003628
661,69,0.003678
676,69,0.003698
692,69,0.003773
708,69,0.003846
723,69,0.003887
739,69,0.003944
754,69,0.004008
770,69,0.004075
