# #Data,#Feat,Runtime
128,6,0.003071
148,6,0.003235
175,6,0.003494
201,6,0.003738
228,6,0.003901
255,6,0.004129
282,6,0.004359
309,6,0.004612
335,6,0.004816
362,6,0.005032
389,6,0.005251
416,6,0.005519
443,6,0.005765
469,6,0.005937
496,6,0.006207
523,6,0.006441
550,6,0.006697
577,6,0.006909
603,6,0.007073
630,6,0.007344
657,6,0.007593
684,6,0.007835
711,6,0.008042
738,6,0.008236
764,6,0.008528
791,6,0.008780
818,6,0.009019
845,6,0.009215
871,6,0.009443
898,6,0.009652
925,6,0.009891
952,6,0.010157
979,6,0.010461
1005,6,0.010566
1032,6,0.010806
1059,6,0.011055
1086,6,0.011290
1113,6,0.011457
1139,6,0.011752
1166,6,0.012013
1193,6,0.012137
1220,6,0.012417
1247,6,0.012702
1273,6,0.012885
1300,6,0.013200
1327,6,0.013390
