# #Data,#Feat,Runtime
128,5,0.001244
141,5,0.001279
155,5,0.001290
168,5,0.001321
181,5,0.001331
195,5,0.001332
208,5,0.001334
222,5,0.001348
235,5,0.001386
248,5,0.001396
262,5,0.001405
275,5,0.001400
289,5,0.001447
302,5,0.001489
315,5,0.001440
329,5,0.001474
342,5,0.001523
356,5,0.001523
369,5,0.001505
382,5,0.001554
396,5,0.001560
409,5,0.001593
423,5,0.001559
436,5,0.001607
449,5,0.001603
463,5,0.001649
476,5,0.001620
490,5,0.001662
503,5,0.001655
516,5,0.001725
530,5,0.001710
543,5,0.001701
557,5,0.001712
570,5,0.001749
583,5,0.001748
597,5,0.001774
610,5,0.001781
624,5,0.001858
637,5,0.001814
650,5,0.001833
664,5,0.001900
