# #Data,#Feat,Runtime
128,10,0.001283
141,10,0.001331
155,10,0.001357
168,10,0.001359
181,10,0.001379
195,10,0.001384
208,10,0.001417
222,10,0.001440
235,10,0.001455
248,10,0.001471
262,10,0.001499
275,10,0.001519
289,10,0.001559
302,10,0.001535
315,10,0.001609
329,10,0.001607
342,10,0.001627
356,10,0.001636
369,10,0.001659
382,10,0.001681
396,10,0.001695
409,10,0.001740
423,10,0.001760
436,10,0.001785
449,10,0.001805
463,10,0.001877
476,10,0.001829
490,10,0.001855
503,10,0.001877
516,10,0.001918
530,10,0.001918
543,10,0.001955
557,10,0.001986
570,10,0.001980
583,10,0.002022
597,10,0.002040
610,10,0.002064
624,10,0.002077
637,10,0.002112
650,10,0.002134
664,10,0.002159
