# #Data,#Feat,Runtime
128,277,0.002843
178,277,0.003473
297,277,0.004926
415,277,0.006507
534,277,0.007875
652,277,0.009464
771,277,0.010931
889,277,0.012529
1008,277,0.014107
1126,277,0.015818
1245,277,0.017470
1363,277,0.019045
1482,277,0.020754
1600,277,0.022412
1719,277,0.024587
1837,277,0.026008
1956,277,0.028071
2074,277,0.029351
2193,277,0.030943
2311,277,0.032833
2430,277,0.034620
2548,277,0.036493
2667,277,0.038015
2785,277,0.040222
2904,277,0.042138
3022,277,0.043595
3141,277,0.045814
3259,277,0.047992
3378,277,0.049231
3496,277,0.050995
3615,277,0.052293
3733,277,0.054088
3852,277,0.057210
3970,277,0.059630
4089,277,0.060170
4207,277,0.062409
4326,277,0.063628
4444,277,0.066521
4563,277,0.067914
4681,277,0.071621
4800,277,0.070972
4918,277,0.073895
5037,277,0.076661
5155,277,0.078685
5274,277,0.080769
5392,277,0.083691
5511,277,0.084352
5629,277,0.086533
5748,277,0.086447
5866,277,0.090565
