# #Data,#Feat,Runtime
128,22,0.002007
135,22,0.002003
153,22,0.002125
171,22,0.002085
189,22,0.002171
207,22,0.002213
225,22,0.002304
243,22,0.002381
261,22,0.002456
279,22,0.002502
297,22,0.002620
314,22,0.002647
332,22,0.002760
350,22,0.002817
368,22,0.002874
386,22,0.002970
404,22,0.003051
422,22,0.003114
440,22,0.003174
458,22,0.003252
476,22,0.003302
494,22,0.003395
512,22,0.003489
530,22,0.003541
548,22,0.003615
566,22,0.003724
584,22,0.003790
601,22,0.003824
619,22,0.003890
637,22,0.003974
655,22,0.004077
673,22,0.004140
691,22,0.004193
709,22,0.004272
727,22,0.004303
745,22,0.004399
763,22,0.004475
781,22,0.004543
799,22,0.004630
817,22,0.004689
835,22,0.004786
853,22,0.004819
871,22,0.004902
889,22,0.004971
