# #Data,#Feat,Runtime
128,32,0.001462
165,32,0.001584
275,32,0.001846
385,32,0.002112
494,32,0.002399
604,32,0.002658
714,32,0.002924
824,32,0.003152
933,32,0.003443
1043,32,0.003727
1153,32,0.004035
1263,32,0.004306
1372,32,0.004597
1482,32,0.004884
1592,32,0.005162
1702,32,0.005451
1812,32,0.005725
1921,32,0.006023
2031,32,0.006279
2141,32,0.006541
2251,32,0.006851
2360,32,0.007154
2470,32,0.007382
2580,32,0.007662
2690,32,0.007968
2799,32,0.008239
2909,32,0.008484
3019,32,0.008809
3129,32,0.009033
3238,32,0.009358
3348,32,0.009589
3458,32,0.010000
3568,32,0.010182
3677,32,0.010534
3787,32,0.010898
3897,32,0.011030
4007,32,0.011351
4116,32,0.011621
4226,32,0.011959
4336,32,0.012210
4446,32,0.012429
4556,32,0.012701
4665,32,0.013038
4775,32,0.013342
4885,32,0.013669
4995,32,0.013884
5104,32,0.014105
5214,32,0.014403
5324,32,0.014622
5434,32,0.014992
