# #Data,#Feat,Runtime
128,10,0.001336
140,10,0.001390
196,10,0.001451
252,10,0.001516
308,10,0.001604
364,10,0.001712
420,10,0.001764
476,10,0.001859
532,10,0.001931
588,10,0.002044
644,10,0.002115
700,10,0.002173
756,10,0.002266
812,10,0.002347
868,10,0.002420
924,10,0.002510
980,10,0.002582
1036,10,0.002673
1092,10,0.002761
1148,10,0.002845
1204,10,0.002899
1260,10,0.002989
1316,10,0.003076
1372,10,0.003159
1427,10,0.003229
1483,10,0.003326
1539,10,0.003399
1595,10,0.003475
1651,10,0.003550
1707,10,0.003644
1763,10,0.003714
1819,10,0.003800
1875,10,0.003870
1931,10,0.003953
1987,10,0.004489
2043,10,0.004104
2099,10,0.004186
2155,10,0.004276
2211,10,0.004391
2267,10,0.004435
2323,10,0.004531
2379,10,0.004604
2435,10,0.004669
2491,10,0.004774
2547,10,0.004853
2603,10,0.004970
2659,10,0.005037
2715,10,0.005127
2771,10,0.005234
