# #Data,#Feat,Runtime
128,36,0.003011
130,36,0.003047
216,36,0.003934
302,36,0.004787
388,36,0.005677
474,36,0.006554
561,36,0.007432
647,36,0.008268
733,36,0.009192
819,36,0.010119
905,36,0.011090
991,36,0.012075
1077,36,0.013179
1164,36,0.014127
1250,36,0.015253
1336,36,0.016205
1422,36,0.017107
1508,36,0.018082
1594,36,0.019110
1681,36,0.020090
1767,36,0.021089
1853,36,0.022191
1939,36,0.023033
2025,36,0.024131
2111,36,0.024958
2198,36,0.026031
2284,36,0.026971
2370,36,0.028081
2456,36,0.029104
2542,36,0.029918
2628,36,0.031036
2715,36,0.032001
2801,36,0.032991
2887,36,0.033872
2973,36,0.034926
3059,36,0.035926
3145,36,0.036943
3231,36,0.038007
3318,36,0.038948
3404,36,0.039817
3490,36,0.040851
3576,36,0.042030
3662,36,0.042802
3748,36,0.043843
3835,36,0.044801
3921,36,0.045701
4007,36,0.046824
4093,36,0.047755
4179,36,0.048727
4265,36,0.049660
