# #Data,#Feat,Runtime
128,10,0.001309
184,10,0.001383
257,10,0.001484
330,10,0.001569
404,10,0.001677
477,10,0.001785
550,10,0.001851
624,10,0.001937
697,10,0.002032
770,10,0.002116
844,10,0.002218
917,10,0.002315
990,10,0.002412
1064,10,0.002480
1137,10,0.002580
1210,10,0.002689
1284,10,0.002782
1357,10,0.002888
1430,10,0.002968
1504,10,0.003047
1577,10,0.003140
1650,10,0.003237
1724,10,0.003315
1797,10,0.003420
1870,10,0.003539
1943,10,0.003599
2017,10,0.003712
2090,10,0.003820
2163,10,0.003909
2237,10,0.003974
2310,10,0.004084
2383,10,0.004154
2457,10,0.004262
2530,10,0.004354
2603,10,0.004451
2677,10,0.004570
2750,10,0.004675
2823,10,0.004772
2897,10,0.004863
2970,10,0.004949
3043,10,0.005071
3117,10,0.005201
3190,10,0.005311
3263,10,0.005410
3337,10,0.005514
3410,10,0.005883
3483,10,0.005721
3557,10,0.005828
3630,10,0.005962
