# #Data,#Feat,Runtime
128,61,0.001661
141,61,0.001735
155,61,0.001782
168,61,0.001828
181,61,0.001875
195,61,0.001931
208,61,0.001994
222,61,0.002043
235,61,0.002097
248,61,0.002136
262,61,0.002219
275,61,0.002250
289,61,0.002322
302,61,0.002391
315,61,0.002435
329,61,0.002501
342,61,0.002545
356,61,0.002618
369,61,0.002634
382,61,0.002699
396,61,0.002748
409,61,0.002797
423,61,0.002847
436,61,0.002928
449,61,0.002985
463,61,0.003017
476,61,0.003070
490,61,0.003165
503,61,0.003196
516,61,0.003239
530,61,0.003332
543,61,0.003371
557,61,0.003425
570,61,0.003496
583,61,0.003538
597,61,0.003614
610,61,0.003691
624,61,0.003700
637,61,0.003788
650,61,0.003835
664,61,0.003951
