Name,Model,#Data,#Feat,Runtime
971_bac,dt,128,76,0.002856016159057617
971_bac,sgd,128,76,0.0016889572143554688
971_bac,dt,128,76,0.004656076431274414
971_bac,sgd,128,76,0.0016808509826660156
971_bac,dt,128,76,0.001850128173828125
971_bac,sgd,128,76,0.0016980171203613281
971_bac,dt,128,76,0.002832174301147461
971_bac,sgd,128,76,0.0016398429870605469
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0016939640045166016
971_bac,dt,128,76,0.0018310546875
971_bac,sgd,128,76,0.001664876937866211
971_bac,dt,128,76,0.0019478797912597656
971_bac,sgd,128,76,0.0016632080078125
971_bac,dt,128,76,0.002791881561279297
971_bac,sgd,128,76,0.001708984375
971_bac,dt,128,76,0.0026831626892089844
971_bac,sgd,128,76,0.0017299652099609375
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0017690658569335938
971_bac,dt,128,76,0.002856016159057617
971_bac,sgd,128,76,0.0016889572143554688
971_bac,dt,128,76,0.004656076431274414
971_bac,sgd,128,76,0.0016808509826660156
971_bac,dt,128,76,0.001850128173828125
971_bac,sgd,128,76,0.0016980171203613281
971_bac,dt,128,76,0.002832174301147461
971_bac,sgd,128,76,0.0016398429870605469
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0016939640045166016
971_bac,dt,128,76,0.0018310546875
971_bac,sgd,128,76,0.001664876937866211
971_bac,dt,128,76,0.0019478797912597656
971_bac,sgd,128,76,0.0016632080078125
971_bac,dt,128,76,0.002791881561279297
971_bac,sgd,128,76,0.001708984375
971_bac,dt,128,76,0.0026831626892089844
971_bac,sgd,128,76,0.0017299652099609375
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0017690658569335938
971_bac,dt,128,76,0.002856016159057617
971_bac,sgd,128,76,0.0016889572143554688
971_bac,dt,128,76,0.004656076431274414
971_bac,sgd,128,76,0.0016808509826660156
971_bac,dt,128,76,0.001850128173828125
971_bac,sgd,128,76,0.0016980171203613281
971_bac,dt,128,76,0.002832174301147461
971_bac,sgd,128,76,0.0016398429870605469
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0016939640045166016
971_bac,dt,128,76,0.0018310546875
971_bac,sgd,128,76,0.001664876937866211
971_bac,dt,128,76,0.0019478797912597656
971_bac,sgd,128,76,0.0016632080078125
971_bac,dt,128,76,0.002791881561279297
971_bac,sgd,128,76,0.001708984375
971_bac,dt,128,76,0.0026831626892089844
971_bac,sgd,128,76,0.0017299652099609375
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0017690658569335938
971_bac,dt,128,76,0.002856016159057617
971_bac,sgd,128,76,0.0016889572143554688
971_bac,dt,128,76,0.004656076431274414
971_bac,sgd,128,76,0.0016808509826660156
971_bac,dt,128,76,0.001850128173828125
971_bac,sgd,128,76,0.0016980171203613281
971_bac,dt,128,76,0.002832174301147461
971_bac,sgd,128,76,0.0016398429870605469
971_bac,dt,128,76,0.0027799606323242188
971_bac,sgd,128,76,0.0016939640045166016
971_bac,dt,128,76,0.0018310546875
971_bac,sgd,128,76,0.001664876937866211
971_bac,dt,128,76,0.0019478797912597656
971_bac,sgd,128,76,0.0016632080078125
971_bac,dt,128,76,0.002791881561279297
971_bac,sgd,128,76,0.001708984375
