# #Data,#Feat,Runtime
128,21,0.012054
151,21,0.012199
174,21,0.012288
197,21,0.012364
220,21,0.012446
243,21,0.012699
267,21,0.013406
290,21,0.012761
313,21,0.012850
336,21,0.012951
359,21,0.013027
382,21,0.013105
405,21,0.013162
429,21,0.013291
452,21,0.013352
475,21,0.013422
498,21,0.013518
521,21,0.013722
544,21,0.013806
567,21,0.013900
591,21,0.013998
614,21,0.014071
637,21,0.014130
660,21,0.014216
683,21,0.014308
706,21,0.014388
729,21,0.014475
753,21,0.014580
776,21,0.014652
799,21,0.014669
822,21,0.014784
845,21,0.014899
868,21,0.014926
891,21,0.015035
915,21,0.015080
938,21,0.015179
961,21,0.015249
984,21,0.015318
1007,21,0.015440
1030,21,0.015660
1053,21,0.015718
1077,21,0.015859
1100,21,0.016133
1123,21,0.015915
1146,21,0.016007
