# #Data,#Feat,Runtime
139,8,0.012348
415,8,0.014396
692,8,0.016766
968,8,0.019401
1245,8,0.022015
1522,8,0.024526
1798,8,0.026943
2075,8,0.030399
2351,8,0.032998
2628,8,0.035364
2904,8,0.038387
3181,8,0.040744
3457,8,0.043423
3734,8,0.046639
4011,8,0.049421
4287,8,0.052681
4564,8,0.056230
4840,8,0.058944
5117,8,0.062584
5393,8,0.063603
5670,8,0.067717
5947,8,0.070156
6223,8,0.073666
6500,8,0.076437
6776,8,0.080287
7053,8,0.083870
7329,8,0.088358
7606,8,0.089573
7882,8,0.091108
8159,8,0.094551
8436,8,0.100523
8712,8,0.102116
8989,8,0.104876
9265,8,0.107295
9542,8,0.110994
9818,8,0.115611
10095,8,0.117444
10371,8,0.122401
10648,8,0.124699
10925,8,0.126463
11201,8,0.128153
11478,8,0.129807
11754,8,0.135563
12031,8,0.140609
12307,8,0.140953
12584,8,0.144650
12861,8,0.149349
13137,8,0.154018
13414,8,0.153997
13690,8,0.156967
