# #Data,#Feat,Runtime
128,5,0.012659
129,5,0.012691
181,5,0.013349
233,5,0.014083
284,5,0.014911
336,5,0.015738
387,5,0.016550
439,5,0.017537
490,5,0.018420
542,5,0.019306
593,5,0.020319
645,5,0.021181
697,5,0.022303
748,5,0.023202
800,5,0.024315
851,5,0.025250
903,5,0.026412
954,5,0.027470
1006,5,0.028586
1057,5,0.029870
1109,5,0.031231
1161,5,0.032439
1212,5,0.033838
1264,5,0.034676
1315,5,0.035560
1367,5,0.036991
1418,5,0.038624
1470,5,0.039862
1522,5,0.041142
1573,5,0.041980
1625,5,0.044578
1676,5,0.045284
1728,5,0.046436
1779,5,0.047910
1831,5,0.048840
1882,5,0.049538
1934,5,0.051292
1986,5,0.052733
2037,5,0.054548
2089,5,0.056245
2140,5,0.058047
2192,5,0.059568
2243,5,0.060782
2295,5,0.062500
2346,5,0.064387
2398,5,0.064692
2450,5,0.066055
2501,5,0.067266
2553,5,0.069946
