# #Data,#Feat,Runtime
128,10,0.012492
140,10,0.012648
196,10,0.013201
252,10,0.013758
308,10,0.014386
364,10,0.014948
420,10,0.015542
476,10,0.016109
532,10,0.016904
588,10,0.017542
644,10,0.018119
700,10,0.018821
756,10,0.019438
812,10,0.020035
868,10,0.020846
924,10,0.021531
980,10,0.022057
1036,10,0.022980
1092,10,0.023747
1148,10,0.024432
1204,10,0.025034
1260,10,0.025964
1316,10,0.026494
1372,10,0.027155
1427,10,0.027752
1483,10,0.028450
1539,10,0.029219
1595,10,0.029935
1651,10,0.030385
1707,10,0.031332
1763,10,0.031910
1819,10,0.032651
1875,10,0.033363
1931,10,0.033898
1987,10,0.034836
2043,10,0.035657
2099,10,0.036798
2155,10,0.037427
2211,10,0.038128
2267,10,0.038989
2323,10,0.039750
2379,10,0.040512
2435,10,0.041123
2491,10,0.041914
2547,10,0.042797
2603,10,0.043688
2659,10,0.044142
2715,10,0.045099
2771,10,0.045807
