# #Data,#Feat,Runtime
128,5,0.012339
141,5,0.012507
155,5,0.012585
168,5,0.012708
181,5,0.012819
195,5,0.012917
208,5,0.013106
222,5,0.013221
235,5,0.013354
248,5,0.013441
262,5,0.013642
275,5,0.013754
289,5,0.013891
302,5,0.014025
315,5,0.014150
329,5,0.014279
342,5,0.014419
356,5,0.014674
369,5,0.014734
382,5,0.014859
396,5,0.014996
409,5,0.015132
423,5,0.015298
436,5,0.015391
449,5,0.015540
463,5,0.015749
476,5,0.015900
490,5,0.016026
503,5,0.016148
516,5,0.016380
530,5,0.016550
543,5,0.016734
557,5,0.016910
570,5,0.017037
583,5,0.017210
597,5,0.017347
610,5,0.017526
624,5,0.017700
637,5,0.017843
650,5,0.017993
664,5,0.018136
