# #Data,#Feat,Runtime
128,7,0.011777
136,7,0.011799
190,7,0.011918
245,7,0.012035
299,7,0.012198
353,7,0.012295
408,7,0.012380
462,7,0.012511
516,7,0.013373
570,7,0.012844
625,7,0.012996
679,7,0.013116
733,7,0.013217
788,7,0.013298
842,7,0.013425
896,7,0.013525
950,7,0.013627
1005,7,0.013704
1059,7,0.014021
1113,7,0.014129
1168,7,0.014267
1222,7,0.014384
1276,7,0.014479
1330,7,0.014581
1385,7,0.014723
1439,7,0.014811
1493,7,0.014887
1547,7,0.015029
1602,7,0.015163
1656,7,0.015287
1710,7,0.015390
1765,7,0.015512
1819,7,0.015659
1873,7,0.015740
1927,7,0.015846
1982,7,0.015952
2036,7,0.016075
2090,7,0.016592
2145,7,0.016688
2199,7,0.016823
2253,7,0.016923
2307,7,0.017042
2362,7,0.017138
2416,7,0.017265
2470,7,0.017434
2525,7,0.017745
2579,7,0.017757
2633,7,0.017820
2687,7,0.017905
