,Dimensons,Dimensons,a + bN,a + bN,a + bN,a + bN
,N,K,true,pred.,%diff,%uncertainity
718_bac__sgd,664.0,100.0,0.0054,0.00575774642217252,6.6249337439355545,13.097546022652764
720_bac__sgd,2771.0,10.0,0.0052,0.005460821258935826,5.015793441073585,25.302221288831024
722_bac__sgd,9950.0,48.0,0.0368,0.036847290348384375,0.12850638147928084,3.9610735459438495
723_bac__sgd,664.0,25.0,0.0027,0.0026224298229346257,-2.872969520939793,9.036058017320935
727_bac__sgd,27041.0,10.0,0.0456,0.0440516005175983,-3.3956129000037296,3.19825885284945
728_bac__sgd,2687.0,7.0,0.0047,0.004795102695037577,2.023461596544184,32.08964568038371
734_bac__sgd,9120.0,40.0,0.0273,0.027457324116526356,0.576278815114853,6.088723454153734
735_bac__sgd,5434.0,12.0,0.0092,0.008849109977691819,-3.814021981610662,18.24632015473716
737_bac__sgd,2061.0,6.0,0.0037,0.0037840697763997736,2.272156118912796,4.184193835471959
740_bac__sgd,664.0,10.0,0.0022,0.002396023881958944,8.910176452679265,37.92027755923028
741_bac__sgd,680.0,5.0,0.0019,0.0018100040232432106,-4.7366303556204965,11.224946337213112
743_bac__sgd,664.0,5.0,0.002,0.001824038278504252,-8.7980860747874,11.62719976445374
751_bac__sgd,664.0,10.0,0.0022,0.0021526347041777166,-2.1529679919219773,10.075284066769047
752_bac__sgd,5434.0,32.0,0.0172,0.01725894734259687,0.34271710812134404,8.63598320265409
761_bac__sgd,5434.0,21.0,0.011,0.014313148159470393,30.119528722458128,49.23335013385739
772_bac__sgd,1445.0,3.0,0.0028,0.0027811256076354547,-0.674085441590902,7.015434676869605
797_bac__sgd,664.0,50.0,0.0036,0.003672204525408956,2.005681261359892,13.758356026253667
799_bac__sgd,664.0,5.0,0.0019,0.0018652438327399963,-1.8292719610528285,10.787636165016547
803_bac__sgd,4729.0,5.0,0.0062,0.0065552403812092885,5.729683567891754,31.067470248588574
806_bac__sgd,664.0,50.0,0.0037,0.0036975336839039355,-0.06665719178553245,6.241407204059417
807_bac__sgd,5434.0,8.0,0.0098,0.009273999029294936,-5.367356843929221,13.370503220094644
813_bac__sgd,664.0,5.0,0.002,0.0017451822054004881,-12.740889729975596,15.773184371984113
816_bac__sgd,5434.0,8.0,0.0094,0.009071025657642054,-3.499727046361136,16.61661043548894
819_bac__sgd,6313.0,6.0,0.0091,0.008817666759033504,-3.102563087543911,16.47794438557366
821_bac__sgd,15113.0,16.0,0.0286,0.028601294355757124,0.004525719430503688,5.668906227813533
822_bac__sgd,13690.0,8.0,0.021,0.02025696603458544,-3.538256978164578,6.9773464561260266
823_bac__sgd,13690.0,8.0,0.0186,0.018576681339877048,-0.1253691404459715,10.225680962441064
833_bac__sgd,5434.0,32.0,0.015,0.015108207372400222,0.7213824826681504,13.394170325478386
837_bac__sgd,664.0,50.0,0.0036,0.003644819081376353,1.2449744826764695,5.1296245737831105
843_bac__sgd,15113.0,8.0,0.022,0.0216376044066434,-1.6472526970754453,7.299939820603105
845_bac__sgd,664.0,10.0,0.0021,0.0020664211562570886,-1.5989925591862522,10.790212653423215
846_bac__sgd,11010.0,18.0,0.021,0.02055628402478324,-2.1129332153179154,6.035028318882464
847_bac__sgd,4360.0,14.0,0.0085,0.008236920232639812,-3.095056086590455,16.177557281770824
849_bac__sgd,664.0,25.0,0.0026,0.002419253908352798,-6.95177275566161,8.824246636755978
866_bac__sgd,664.0,50.0,0.0036,0.003969777776130476,10.271604892513217,23.97641790852971
871_bac__sgd,2553.0,5.0,0.0046,0.004672689519443219,1.58020694441781,28.22016079001951
881_bac__sgd,27041.0,14.0,0.0425,0.042616639483636476,0.27444584385052434,2.8143384738407344
897_bac__sgd,770.0,69.0,0.0041,0.004012556918276764,-2.13275809081064,4.069113138369104
901_bac__sgd,27041.0,10.0,0.0444,0.04266511559058744,-3.9073973184967685,3.3549532627778493
903_bac__sgd,664.0,25.0,0.0027,0.0026774022240472336,-0.8369546649172784,12.449990891619178
904_bac__sgd,664.0,50.0,0.0034,0.003268673820414885,-3.862534693679846,6.368267191546482
910_bac__sgd,664.0,10.0,0.0022,0.002048604989594367,-6.881591382074241,12.778364363540522
912_bac__sgd,664.0,5.0,0.0019,0.001946251978053116,2.434314634374521,10.30984811434736
913_bac__sgd,664.0,10.0,0.0021,0.0019493504218041622,-7.173789437897032,13.64496811141855
914_bac__sgd,1327.0,1.0,0.0021,0.0022548327729643835,7.372989188780172,14.962086484144423
917_bac__sgd,664.0,25.0,0.0027,0.0026160360345829073,-3.109776496929366,8.210862966199628
923_bac__sgd,5732.0,5.0,0.007,0.007165872580775945,2.369608296799211,25.37522086713635
930_bac__sgd,864.0,83.0,0.0057,0.00576838654683012,1.199763979475781,3.467380899657846
934_bac__sgd,767.0,39.0,0.0031,0.0031444693834842457,1.4344962414272828,5.85524321444492
953_bac__sgd,2116.0,285.0,0.0296,0.027431937244737775,-7.324536335345358,0.9417217283495725
958_bac__sgd,1532.0,19.0,0.0035,0.003500633806187285,0.01810874820813663,4.691633673362064
959_bac__sgd,8597.0,27.0,0.0187,0.018165115567157882,-2.8603445606530435,6.915982518293991
962_bac__sgd,1327.0,6.0,0.0025,0.0023279968093746065,-6.88012762501574,8.567705529967885
966_bac__sgd,889.0,22.0,0.0027,0.0025914096735888694,-4.021863941152991,8.893975771016635
971_bac__sgd,1327.0,76.0,0.0063,0.00623315383077081,-1.061050305225243,0.64822392383954
976_bac__sgd,6607.0,14.0,0.0111,0.010870212364834,-2.0701588753693696,15.255370569350506
977_bac__sgd,13266.0,16.0,0.0216,0.021396078616974883,-0.9440804769681381,6.017637778834705
978_bac__sgd,1327.0,216.0,0.0139,0.013707303893625651,-1.3863029235564583,1.3774586095689776
979_bac__sgd,3317.0,40.0,0.0108,0.010757771083107014,-0.39100848974987906,16.474531646236898
980_bac__sgd,3728.0,64.0,0.0142,0.01429613391344208,0.6769993904371754,9.897475694915205
991_bac__sgd,1146.0,21.0,0.0031,0.003072364786213277,-0.8914585092491273,5.434895867963352
993_bac__sgd,4655.0,664.0,0.1565,0.13272082882387368,-15.194358578994457,0.7750909649731138
995_bac__sgd,1327.0,47.0,0.0049,0.004805724531716942,-1.9239891486338314,4.301728730849777
