# #Data,#Feat,Runtime
128,2000,0.022373
149,2000,0.027021
182,2000,0.032860
215,2000,0.039867
248,2000,0.047302
281,2000,0.055660
314,2000,0.063231
347,2000,0.069678
380,2000,0.078965
413,2000,0.088626
446,2000,0.097090
479,2000,0.106089
512,2000,0.114815
545,2000,0.123546
578,2000,0.136022
611,2000,0.144159
644,2000,0.154840
677,2000,0.163043
710,2000,0.179685
743,2000,0.192963
776,2000,0.197518
809,2000,0.212109
843,2000,0.222685
876,2000,0.236473
909,2000,0.252558
942,2000,0.258243
975,2000,0.273276
1008,2000,0.284293
1041,2000,0.300542
1074,2000,0.311835
1107,2000,0.313866
1140,2000,0.329682
1173,2000,0.342592
1206,2000,0.356857
1239,2000,0.370759
1272,2000,0.384289
1305,2000,0.401770
1338,2000,0.410250
1371,2000,0.421663
1404,2000,0.433701
1437,2000,0.453685
1470,2000,0.467815
1503,2000,0.491010
1536,2000,0.506616
1569,2000,0.523678
1602,2000,0.528230
1635,2000,0.541382
