# #Data,#Feat,Runtime
128,26832,0.124988
193,26832,0.219887
321,26832,0.384258
449,26832,0.580924
577,26832,0.791544
705,26832,1.013416
833,26832,1.242786
961,26832,1.497327
1089,26832,1.742792
1217,26832,2.006312
1345,26832,2.261594
1473,26832,2.553785
1601,26832,2.897684
1729,26832,3.047472
1857,26832,3.469731
1985,26832,3.782194
2113,26832,4.065446
2241,26832,4.393981
2369,26832,4.694986
2497,26832,5.001580
2625,26832,5.322968
2753,26832,5.665925
2881,26832,5.978415
3009,26832,6.309659
3137,26832,6.647045
3265,26832,6.992544
3393,26832,7.426898
3521,26832,7.830436
3649,26832,8.336668
3777,26832,8.800379
3905,26832,9.122838
4033,26832,9.483028
4161,26832,9.800456
4289,26832,10.240375
4417,26832,10.659895
4545,26832,11.085053
4673,26832,11.478792
4801,26832,11.878752
4929,26832,12.296528
5057,26832,12.930484
5185,26832,13.286989
5313,26832,13.621527
5441,26832,13.910510
5569,26832,14.539534
5697,26832,14.893047
5825,26832,15.286741
5953,26832,15.726289
6081,26832,16.248911
6209,26832,16.801652
6337,26832,17.012927
