# #Data,#Feat,Runtime
661,100,0.085740
1981,100,0.412627
3301,100,0.858684
4621,100,1.384988
5942,100,2.057016
7262,100,2.706335
8582,100,3.427533
9902,100,4.277162
11223,100,5.015711
12543,100,5.937543
13863,100,6.843289
15183,100,7.770206
16503,100,8.686118
17824,100,9.807697
19144,100,10.982121
20464,100,11.892529
21784,100,12.851497
23105,100,14.075808
24425,100,15.347211
25745,100,16.604494
27065,100,17.794570
28386,100,19.147834
29706,100,20.005359
31026,100,21.182959
32346,100,22.810782
33667,100,24.144895
34987,100,25.208176
36307,100,27.029858
37627,100,28.194180
38948,100,29.212822
40268,100,31.347800
41588,100,31.830318
42908,100,33.146034
44229,100,34.969952
45549,100,36.332882
46869,100,38.058536
48189,100,39.148002
49509,100,41.053061
50830,100,42.832132
52150,100,43.924262
53470,100,45.687218
54790,100,47.057343
56111,100,47.996711
57431,100,49.445413
58751,100,51.365815
60071,100,52.947286
61392,100,54.522045
62712,100,55.529626
64032,100,57.893801
65352,100,58.715280
