# #Data,#Feat,Runtime
128,2886,0.013396
131,2886,0.013899
152,2886,0.017011
172,2886,0.019804
192,2886,0.022367
212,2886,0.024287
232,2886,0.028106
252,2886,0.030030
272,2886,0.030890
293,2886,0.036486
313,2886,0.037814
333,2886,0.042426
353,2886,0.045419
373,2886,0.048523
393,2886,0.051110
413,2886,0.054041
434,2886,0.058128
454,2886,0.059813
474,2886,0.064652
494,2886,0.065941
514,2886,0.071523
534,2886,0.074851
554,2886,0.078611
574,2886,0.083211
595,2886,0.086460
615,2886,0.088333
635,2886,0.094240
655,2886,0.096262
675,2886,0.101865
695,2886,0.107062
715,2886,0.108110
736,2886,0.111745
756,2886,0.115079
776,2886,0.124496
796,2886,0.127086
816,2886,0.133115
836,2886,0.141011
856,2886,0.144732
877,2886,0.146359
897,2886,0.151233
917,2886,0.152869
937,2886,0.154998
957,2886,0.161991
977,2886,0.160690
997,2886,0.163611
