# #Data,#Feat,Runtime
128,24,0.001192
129,24,0.001211
148,24,0.001268
168,24,0.001331
188,24,0.001432
208,24,0.001491
227,24,0.001569
247,24,0.001664
267,24,0.001745
286,24,0.001823
306,24,0.001888
326,24,0.001963
346,24,0.002035
365,24,0.002155
385,24,0.002192
405,24,0.002304
424,24,0.002388
444,24,0.002453
464,24,0.002555
484,24,0.002633
503,24,0.002716
523,24,0.002805
543,24,0.002905
563,24,0.002959
582,24,0.003069
602,24,0.003161
622,24,0.003250
641,24,0.003322
661,24,0.003401
681,24,0.003506
701,24,0.003603
720,24,0.003658
740,24,0.003737
760,24,0.003828
779,24,0.003894
799,24,0.004015
819,24,0.004054
839,24,0.004152
858,24,0.004213
878,24,0.004299
898,24,0.004379
917,24,0.004498
937,24,0.004563
957,24,0.004670
977,24,0.004747
