# #Data,#Feat,Runtime
128,32,0.002894
165,32,0.003637
275,32,0.006597
385,32,0.009685
494,32,0.012945
604,32,0.016279
714,32,0.020002
824,32,0.024894
933,32,0.028662
1043,32,0.031387
1153,32,0.034550
1263,32,0.039286
1372,32,0.043915
1482,32,0.048478
1592,32,0.051098
1702,32,0.057583
1812,32,0.061953
1921,32,0.065247
2031,32,0.068919
2141,32,0.073733
2251,32,0.079449
2360,32,0.085371
2470,32,0.088631
2580,32,0.094958
2690,32,0.099390
2799,32,0.105652
2909,32,0.112672
3019,32,0.115623
3129,32,0.117107
3238,32,0.125868
3348,32,0.129436
3458,32,0.134983
3568,32,0.140994
3677,32,0.145924
3787,32,0.148355
3897,32,0.153143
4007,32,0.160871
4116,32,0.165725
4226,32,0.170677
4336,32,0.175626
4446,32,0.180718
4556,32,0.187285
4665,32,0.191543
4775,32,0.199664
4885,32,0.210047
4995,32,0.210064
5104,32,0.216107
5214,32,0.222938
5324,32,0.229864
5434,32,0.238671
