# #Data,#Feat,Runtime
219,108,0.002248
655,108,0.006679
1091,108,0.011378
1528,108,0.017412
1964,108,0.023595
2400,108,0.030499
2836,108,0.036049
3273,108,0.042619
3709,108,0.049855
4145,108,0.057259
4582,108,0.064654
5018,108,0.073199
5454,108,0.080692
5891,108,0.088764
6327,108,0.096547
6763,108,0.102937
7199,108,0.112312
7636,108,0.122619
8072,108,0.127022
8508,108,0.138478
8945,108,0.145869
9381,108,0.154128
9817,108,0.165491
10254,108,0.172409
10690,108,0.183376
11126,108,0.192003
11562,108,0.201725
11999,108,0.209326
12435,108,0.218202
12871,108,0.227337
13308,108,0.237646
13744,108,0.246980
14180,108,0.254802
14617,108,0.259632
15053,108,0.270324
15489,108,0.276543
15925,108,0.290117
16362,108,0.299985
16798,108,0.307083
17234,108,0.316366
17671,108,0.325568
18107,108,0.332622
18543,108,0.340850
18980,108,0.354912
19416,108,0.370601
19852,108,0.375191
20288,108,0.391082
20725,108,0.402484
21161,108,0.413745
21597,108,0.419571
