# #Data,#Feat,Runtime
128,10,0.001143
184,10,0.001365
257,10,0.001877
330,10,0.002290
404,10,0.002901
477,10,0.003470
550,10,0.003815
624,10,0.004422
697,10,0.005266
770,10,0.005702
844,10,0.006072
917,10,0.006518
990,10,0.006928
1064,10,0.008147
1137,10,0.008133
1210,10,0.008701
1284,10,0.009922
1357,10,0.010550
1430,10,0.011446
1504,10,0.012277
1577,10,0.013033
1650,10,0.013075
1724,10,0.013853
1797,10,0.014608
1870,10,0.014845
1943,10,0.016214
2017,10,0.016962
2090,10,0.018198
2163,10,0.018395
2237,10,0.018759
2310,10,0.020126
2383,10,0.020168
2457,10,0.021336
2530,10,0.021764
2603,10,0.023195
2677,10,0.024017
2750,10,0.025334
2823,10,0.025136
2897,10,0.027206
2970,10,0.027452
3043,10,0.028369
3117,10,0.029048
3190,10,0.029617
3263,10,0.030240
3337,10,0.032496
3410,10,0.033342
3483,10,0.034278
3557,10,0.034582
3630,10,0.034182
