# #Data,#Feat,Runtime
335,57616,0.053963
1005,57616,0.588977
1675,57616,2.004019
2345,57616,4.713791
3015,57616,8.197807
3685,57616,11.146456
4355,57616,17.756185
5025,57616,19.736558
5695,57616,25.806634
6365,57616,31.630482
7035,57616,41.052376
7705,57616,52.192003
8375,57616,58.911847
9045,57616,73.945586
9715,57616,85.774581
10385,57616,98.432472
11055,57616,125.831523
11725,57616,135.546726
12395,57616,154.617985
13065,57616,170.493667
13735,57616,162.889327
14405,57616,147.485740
15075,57616,151.800764
15745,57616,138.467419
16415,57616,156.794196
17085,57616,181.108820
17755,57616,197.945440
18425,57616,226.060221
19095,57616,219.300758
19765,57616,236.485707
20435,57616,259.493452
21105,57616,278.550684
21775,57616,294.139706
22445,57616,321.686240
23115,57616,321.784363
23785,57616,344.781546
24455,57616,399.773264
25125,57616,427.953323
25795,57616,482.783938
26465,57616,482.833880
27135,57616,547.881822
27805,57616,549.531710
28475,57616,626.697637
29145,57616,702.332220
29815,57616,748.309872
30485,57616,792.991591
31155,57616,836.645482
31825,57616,873.091315
32495,57616,934.880533
33165,57616,1006.464935
