# #Data,#Feat,Runtime
128,10935,0.295298
135,10935,0.361828
156,10935,0.469329
176,10935,0.514130
197,10935,0.634723
218,10935,0.723353
239,10935,0.877738
259,10935,0.990540
280,10935,1.184499
301,10935,1.332388
321,10935,1.470239
342,10935,1.710631
363,10935,1.868444
383,10935,2.145121
404,10935,2.336239
425,10935,2.513086
446,10935,2.684371
466,10935,2.820158
487,10935,3.150056
508,10935,3.429779
528,10935,3.691860
549,10935,3.909500
570,10935,3.879520
590,10935,4.168998
611,10935,4.755260
632,10935,4.895135
653,10935,5.251419
673,10935,5.581599
694,10935,5.782253
715,10935,6.033820
735,10935,6.378824
756,10935,6.810838
777,10935,7.290995
797,10935,7.724602
818,10935,7.954937
839,10935,8.264164
860,10935,8.683025
880,10935,9.185117
901,10935,9.099761
922,10935,9.616510
942,10935,9.963687
963,10935,9.635808
984,10935,9.987095
1004,10935,11.678405
1025,10935,12.889398
