# #Data,#Feat,Runtime
128,21,0.000939
151,21,0.000981
174,21,0.000982
197,21,0.001023
220,21,0.001034
243,21,0.001068
267,21,0.001097
290,21,0.001119
313,21,0.001153
336,21,0.001194
359,21,0.001226
382,21,0.001234
405,21,0.001272
429,21,0.001311
452,21,0.001324
475,21,0.001355
498,21,0.001390
521,21,0.001409
544,21,0.001423
567,21,0.001471
591,21,0.001510
614,21,0.001542
637,21,0.001572
660,21,0.001598
683,21,0.001619
706,21,0.001652
729,21,0.001694
753,21,0.001719
776,21,0.001743
799,21,0.001781
822,21,0.001789
845,21,0.001821
868,21,0.001865
891,21,0.001870
915,21,0.001892
938,21,0.001933
961,21,0.001955
984,21,0.002000
1007,21,0.002019
1030,21,0.002044
1053,21,0.002061
1077,21,0.002086
1100,21,0.002110
1123,21,0.002131
1146,21,0.002164
