# #Data,#Feat,Runtime
128,10935,0.409154
135,10935,0.482557
156,10935,0.618066
176,10935,0.704486
197,10935,0.840211
218,10935,1.088355
239,10935,1.152726
259,10935,1.355798
280,10935,1.524472
301,10935,1.715641
321,10935,1.884922
342,10935,2.231722
363,10935,2.521449
383,10935,2.760159
404,10935,2.820275
425,10935,2.826972
446,10935,3.118138
466,10935,3.318518
487,10935,4.009840
508,10935,4.173697
528,10935,4.415295
549,10935,4.599185
570,10935,4.782132
590,10935,5.275752
611,10935,5.869728
632,10935,6.183090
653,10935,7.020751
673,10935,7.171604
694,10935,7.683538
715,10935,7.555359
735,10935,9.022005
756,10935,8.502753
777,10935,8.896708
797,10935,10.273411
818,10935,10.655426
839,10935,10.650990
860,10935,10.867894
880,10935,11.541352
901,10935,11.878973
922,10935,12.255943
942,10935,12.777648
963,10935,13.308808
984,10935,13.931972
1004,10935,14.819977
1025,10935,14.721165
