# #Data,#Feat,Runtime
328,124,0.003365
982,124,0.007763
1637,124,0.012161
2291,124,0.016725
2946,124,0.021343
3600,124,0.025881
4255,124,0.030585
4909,124,0.035271
5564,124,0.039805
6218,124,0.044897
6873,124,0.050909
7527,124,0.054274
8181,124,0.059412
8836,124,0.064209
9490,124,0.069780
10145,124,0.074494
10799,124,0.080455
11454,124,0.085838
12108,124,0.092180
12763,124,0.101478
13417,124,0.111936
14072,124,0.118555
14726,124,0.123281
15381,124,0.135704
16035,124,0.134039
16690,124,0.155779
17344,124,0.168835
17999,124,0.168271
18653,124,0.186533
19308,124,0.188475
19962,124,0.203138
20617,124,0.206502
21271,124,0.216787
21926,124,0.226278
22580,124,0.229412
23235,124,0.236270
23889,124,0.241075
24543,124,0.253947
25198,124,0.261514
25852,124,0.267506
26507,124,0.283610
27161,124,0.288275
27816,124,0.291829
28470,124,0.308679
29125,124,0.314475
29779,124,0.319688
30434,124,0.328692
31088,124,0.335543
31743,124,0.342427
32397,124,0.350970
