# #Data,#Feat,Runtime
335,57775,0.015664
1005,57775,0.032420
1675,57775,0.055692
2345,57775,0.079918
3015,57775,0.112782
3685,57775,0.142169
4355,57775,0.162361
5025,57775,0.196465
5695,57775,0.214911
6365,57775,0.257920
7035,57775,0.277977
7705,57775,0.329183
8375,57775,0.339774
9045,57775,0.399007
9715,57775,0.461935
10385,57775,0.442143
11055,57775,0.460577
11725,57775,0.498975
12395,57775,0.559369
13065,57775,0.559345
13735,57775,0.608236
14405,57775,0.639776
15075,57775,0.651211
15745,57775,0.711140
16415,57775,0.692102
17085,57775,0.744329
17755,57775,0.741149
18425,57775,0.796047
19095,57775,0.894874
19765,57775,0.855769
20435,57775,0.903899
21105,57775,0.941277
21775,57775,0.959355
22445,57775,0.995874
23115,57775,0.996683
23785,57775,1.109603
24455,57775,1.074416
25125,57775,1.117433
25795,57775,1.147726
26465,57775,1.253459
27135,57775,1.224930
27805,57775,1.226372
28475,57775,1.288021
29145,57775,1.301410
29815,57775,1.322045
30485,57775,1.343681
31155,57775,1.391895
31825,57775,1.395873
32495,57775,1.472668
33165,57775,1.621804
