# #Data,#Feat,Runtime
128,53,0.002332
177,53,0.002711
228,53,0.003037
278,53,0.003386
329,53,0.003773
380,53,0.004112
430,53,0.004445
481,53,0.004786
531,53,0.005134
582,53,0.006569
632,53,0.005978
683,53,0.006443
733,53,0.006814
784,53,0.007216
834,53,0.007534
885,53,0.007988
935,53,0.008360
986,53,0.008757
1037,53,0.009149
1087,53,0.009564
1138,53,0.009826
1188,53,0.010287
1239,53,0.010952
1289,53,0.011384
1340,53,0.011607
1390,53,0.012122
1441,53,0.012883
1491,53,0.013274
1542,53,0.013591
1593,53,0.014083
1643,53,0.014409
1694,53,0.014796
1744,53,0.015779
1795,53,0.016081
1845,53,0.016735
1896,53,0.017304
1946,53,0.017603
1997,53,0.018085
2047,53,0.018546
2098,53,0.018964
2148,53,0.019400
2199,53,0.019846
2250,53,0.020693
2300,53,0.022171
2351,53,0.022635
2401,53,0.023032
2452,53,0.023915
2502,53,0.024693
