# #Data,#Feat,Runtime
128,664,0.004700
142,664,0.005066
236,664,0.007474
330,664,0.010022
424,664,0.012631
518,664,0.015319
612,664,0.017994
706,664,0.020777
800,664,0.023352
894,664,0.026049
988,664,0.028814
1082,664,0.031290
1176,664,0.034258
1270,664,0.036994
1364,664,0.039806
1458,664,0.042310
1552,664,0.045112
1646,664,0.047835
1740,664,0.051787
1834,664,0.053754
1928,664,0.056761
2022,664,0.059987
2116,664,0.061918
2210,664,0.065904
2304,664,0.069967
2399,664,0.072400
2493,664,0.076016
2587,664,0.078557
2681,664,0.082595
2775,664,0.084775
2869,664,0.087384
2963,664,0.090316
3057,664,0.093907
3151,664,0.098294
3245,664,0.100498
3339,664,0.105176
3433,664,0.107070
3527,664,0.112298
3621,664,0.115773
3715,664,0.120967
3809,664,0.125165
3903,664,0.128667
3997,664,0.129698
4091,664,0.132103
4185,664,0.139541
4279,664,0.145278
4373,664,0.145372
4467,664,0.152391
4561,664,0.152651
4655,664,0.156497
