Name,Model,#Data,#Feat,Runtime
881_bac,dt,274,14,0.0014591217041015625
881_bac,sgd,274,14,0.0015761852264404297
881_bac,dt,274,14,0.0015048980712890625
881_bac,sgd,274,14,0.0015749931335449219
881_bac,dt,274,14,0.0015311241149902344
881_bac,sgd,274,14,0.0015408992767333984
881_bac,dt,274,14,0.0015192031860351562
881_bac,sgd,274,14,0.0015721321105957031
881_bac,dt,274,14,0.0015189647674560547
881_bac,sgd,274,14,0.0015621185302734375
881_bac,dt,274,14,0.0015120506286621094
881_bac,sgd,274,14,0.001600027084350586
881_bac,dt,274,14,0.0015451908111572266
881_bac,sgd,274,14,0.0015950202941894531
881_bac,dt,274,14,0.0015668869018554688
881_bac,sgd,274,14,0.0015690326690673828
881_bac,dt,274,14,0.0015990734100341797
881_bac,sgd,274,14,0.001692056655883789
881_bac,dt,274,14,0.0015878677368164062
881_bac,sgd,274,14,0.0015799999237060547
881_bac,dt,820,14,0.0030469894409179688
881_bac,sgd,820,14,0.002351999282836914
881_bac,dt,820,14,0.003403902053833008
881_bac,sgd,820,14,0.002393007278442383
881_bac,dt,820,14,0.0034852027893066406
881_bac,sgd,820,14,0.002437114715576172
881_bac,dt,820,14,0.0038149356842041016
881_bac,sgd,820,14,0.0024690628051757812
881_bac,dt,820,14,0.00344085693359375
881_bac,sgd,820,14,0.0023279190063476562
881_bac,dt,820,14,0.0034952163696289062
881_bac,sgd,820,14,0.0024518966674804688
881_bac,dt,820,14,0.0034520626068115234
881_bac,sgd,820,14,0.002443075180053711
881_bac,dt,820,14,0.003640890121459961
881_bac,sgd,820,14,0.0024499893188476562
881_bac,dt,820,14,0.0032339096069335938
881_bac,sgd,820,14,0.002386808395385742
881_bac,dt,820,14,0.0035178661346435547
881_bac,sgd,820,14,0.0023529529571533203
881_bac,dt,1366,14,0.0054149627685546875
881_bac,sgd,1366,14,0.0032339096069335938
881_bac,dt,1366,14,0.006272077560424805
881_bac,sgd,1366,14,0.003133058547973633
881_bac,dt,1366,14,0.006701946258544922
881_bac,sgd,1366,14,0.003134012222290039
881_bac,dt,1366,14,0.005780935287475586
881_bac,sgd,1366,14,0.0031991004943847656
881_bac,dt,1366,14,0.005425930023193359
881_bac,sgd,1366,14,0.003122091293334961
881_bac,dt,1366,14,0.005937099456787109
881_bac,sgd,1366,14,0.003158092498779297
881_bac,dt,1366,14,0.0054988861083984375
881_bac,sgd,1366,14,0.0031728744506835938
881_bac,dt,1366,14,0.005528926849365234
881_bac,sgd,1366,14,0.0032219886779785156
881_bac,dt,1366,14,0.0055201053619384766
881_bac,sgd,1366,14,0.003155946731567383
881_bac,dt,1366,14,0.0055010318756103516
881_bac,sgd,1366,14,0.003139972686767578
881_bac,dt,1912,14,0.007322072982788086
881_bac,sgd,1912,14,0.003928184509277344
881_bac,dt,1912,14,0.00806283950805664
881_bac,sgd,1912,14,0.0039920806884765625
881_bac,dt,1912,14,0.008678913116455078
881_bac,sgd,1912,14,0.0038919448852539062
881_bac,dt,1912,14,0.00851893424987793
881_bac,sgd,1912,14,0.003919124603271484
881_bac,dt,1912,14,0.007426023483276367
881_bac,sgd,1912,14,0.0039010047912597656
881_bac,dt,1912,14,0.008147954940795898
881_bac,sgd,1912,14,0.003901958465576172
881_bac,dt,1912,14,0.007328987121582031
881_bac,sgd,1912,14,0.0039000511169433594
881_bac,dt,1912,14,0.008069038391113281
881_bac,sgd,1912,14,0.0038881301879882812
881_bac,dt,1912,14,0.007727861404418945
881_bac,sgd,1912,14,0.0039250850677490234
881_bac,dt,1912,14,0.009202957153320312
881_bac,sgd,1912,14,0.0041141510009765625
881_bac,dt,2459,14,0.01037907600402832
881_bac,sgd,2459,14,0.004911184310913086
881_bac,dt,2459,14,0.010469913482666016
881_bac,sgd,2459,14,0.004889965057373047
881_bac,dt,2459,14,0.010391950607299805
881_bac,sgd,2459,14,0.004760026931762695
881_bac,dt,2459,14,0.010162830352783203
881_bac,sgd,2459,14,0.00484013557434082
881_bac,dt,2459,14,0.00946497917175293
881_bac,sgd,2459,14,0.004801034927368164
881_bac,dt,2459,14,0.009714126586914062
881_bac,sgd,2459,14,0.004801034927368164
881_bac,dt,2459,14,0.009337902069091797
881_bac,sgd,2459,14,0.004879951477050781
881_bac,dt,2459,14,0.010950088500976562
881_bac,sgd,2459,14,0.0048980712890625
881_bac,dt,2459,14,0.00985097885131836
881_bac,sgd,2459,14,0.004892110824584961
881_bac,dt,2459,14,0.010895967483520508
881_bac,sgd,2459,14,0.004851102828979492
881_bac,dt,3005,14,0.011605978012084961
881_bac,sgd,3005,14,0.005735158920288086
881_bac,dt,3005,14,0.011395931243896484
881_bac,sgd,3005,14,0.0057201385498046875
881_bac,dt,3005,14,0.012661218643188477
881_bac,sgd,3005,14,0.0056819915771484375
881_bac,dt,3005,14,0.01026606559753418
881_bac,sgd,3005,14,0.005787849426269531
881_bac,dt,3005,14,0.013466119766235352
881_bac,sgd,3005,14,0.00574803352355957
881_bac,dt,3005,14,0.011924982070922852
881_bac,sgd,3005,14,0.0056760311126708984
881_bac,dt,3005,14,0.01127004623413086
881_bac,sgd,3005,14,0.005736112594604492
881_bac,dt,3005,14,0.012772083282470703
881_bac,sgd,3005,14,0.005657196044921875
881_bac,dt,3005,14,0.012209177017211914
881_bac,sgd,3005,14,0.005713939666748047
881_bac,dt,3005,14,0.013469934463500977
881_bac,sgd,3005,14,0.0057561397552490234
881_bac,dt,3551,14,0.01478886604309082
881_bac,sgd,3551,14,0.006528139114379883
881_bac,dt,3551,14,0.013632059097290039
881_bac,sgd,3551,14,0.006555795669555664
881_bac,dt,3551,14,0.015299081802368164
881_bac,sgd,3551,14,0.006524085998535156
881_bac,dt,3551,14,0.012901067733764648
881_bac,sgd,3551,14,0.006571054458618164
881_bac,dt,3551,14,0.014956951141357422
881_bac,sgd,3551,14,0.006527900695800781
881_bac,dt,3551,14,0.015174150466918945
881_bac,sgd,3551,14,0.006549835205078125
881_bac,dt,3551,14,0.013371944427490234
881_bac,sgd,3551,14,0.0066089630126953125
881_bac,dt,3551,14,0.016194820404052734
881_bac,sgd,3551,14,0.006467103958129883
881_bac,dt,3551,14,0.015841007232666016
881_bac,sgd,3551,14,0.0065059661865234375
881_bac,dt,3551,14,0.015787124633789062
881_bac,sgd,3551,14,0.006466865539550781
881_bac,dt,4098,14,0.017230987548828125
881_bac,sgd,4098,14,0.007390022277832031
881_bac,dt,4098,14,0.016582012176513672
881_bac,sgd,4098,14,0.007360935211181641
881_bac,dt,4098,14,0.017045974731445312
881_bac,sgd,4098,14,0.007411003112792969
881_bac,dt,4098,14,0.015131950378417969
881_bac,sgd,4098,14,0.00733494758605957
881_bac,dt,4098,14,0.01821589469909668
881_bac,sgd,4098,14,0.007421970367431641
881_bac,dt,4098,14,0.016097068786621094
881_bac,sgd,4098,14,0.007504940032958984
881_bac,dt,4098,14,0.015469074249267578
881_bac,sgd,4098,14,0.007489204406738281
881_bac,dt,4098,14,0.018507003784179688
881_bac,sgd,4098,14,0.007288932800292969
881_bac,dt,4098,14,0.018445968627929688
881_bac,sgd,4098,14,0.007356882095336914
881_bac,dt,4098,14,0.019896984100341797
881_bac,sgd,4098,14,0.0074808597564697266
881_bac,dt,4644,14,0.018444061279296875
881_bac,sgd,4644,14,0.008270978927612305
881_bac,dt,4644,14,0.019687175750732422
881_bac,sgd,4644,14,0.008178949356079102
881_bac,dt,4644,14,0.021255970001220703
881_bac,sgd,4644,14,0.008281946182250977
881_bac,dt,4644,14,0.01951885223388672
881_bac,sgd,4644,14,0.008308887481689453
881_bac,dt,4644,14,0.020759105682373047
881_bac,sgd,4644,14,0.008142948150634766
881_bac,dt,4644,14,0.017926931381225586
881_bac,sgd,4644,14,0.008234024047851562
881_bac,dt,4644,14,0.017606019973754883
881_bac,sgd,4644,14,0.008332967758178711
881_bac,dt,4644,14,0.02091693878173828
881_bac,sgd,4644,14,0.008194923400878906
881_bac,dt,4644,14,0.021265029907226562
881_bac,sgd,4644,14,0.008275032043457031
881_bac,dt,4644,14,0.020811796188354492
881_bac,sgd,4644,14,0.008201122283935547
881_bac,dt,5190,14,0.022063016891479492
881_bac,sgd,5190,14,0.008977890014648438
881_bac,dt,5190,14,0.021867990493774414
881_bac,sgd,5190,14,0.00899505615234375
881_bac,dt,5190,14,0.021863937377929688
881_bac,sgd,5190,14,0.009009838104248047
881_bac,dt,5190,14,0.02170085906982422
881_bac,sgd,5190,14,0.009037017822265625
881_bac,dt,5190,14,0.02136516571044922
881_bac,sgd,5190,14,0.009092092514038086
881_bac,dt,5190,14,0.019835948944091797
881_bac,sgd,5190,14,0.009103059768676758
881_bac,dt,5190,14,0.0199739933013916
881_bac,sgd,5190,14,0.009001970291137695
881_bac,dt,5190,14,0.023617029190063477
881_bac,sgd,5190,14,0.008986949920654297
881_bac,dt,5190,14,0.023602962493896484
881_bac,sgd,5190,14,0.008990049362182617
881_bac,dt,5190,14,0.023658037185668945
881_bac,sgd,5190,14,0.009034872055053711
881_bac,dt,5736,14,0.026295185089111328
881_bac,sgd,5736,14,0.00988006591796875
881_bac,dt,5736,14,0.024569988250732422
881_bac,sgd,5736,14,0.009917974472045898
881_bac,dt,5736,14,0.026233911514282227
881_bac,sgd,5736,14,0.009977102279663086
881_bac,dt,5736,14,0.02434992790222168
881_bac,sgd,5736,14,0.009897947311401367
881_bac,dt,5736,14,0.02390599250793457
881_bac,sgd,5736,14,0.009908914566040039
881_bac,dt,5736,14,0.023745059967041016
881_bac,sgd,5736,14,0.009853839874267578
881_bac,dt,5736,14,0.024198055267333984
881_bac,sgd,5736,14,0.009886980056762695
881_bac,dt,5736,14,0.0261380672454834
881_bac,sgd,5736,14,0.009859085083007812
881_bac,dt,5736,14,0.02631688117980957
881_bac,sgd,5736,14,0.009877920150756836
881_bac,dt,5736,14,0.026045799255371094
881_bac,sgd,5736,14,0.010232925415039062
881_bac,dt,6283,14,0.029410839080810547
881_bac,sgd,6283,14,0.01065516471862793
881_bac,dt,6283,14,0.02691483497619629
881_bac,sgd,6283,14,0.010854959487915039
881_bac,dt,6283,14,0.028757810592651367
881_bac,sgd,6283,14,0.010598897933959961
881_bac,dt,6283,14,0.027047157287597656
881_bac,sgd,6283,14,0.010697126388549805
881_bac,dt,6283,14,0.026452064514160156
881_bac,sgd,6283,14,0.010802984237670898
881_bac,dt,6283,14,0.02663588523864746
881_bac,sgd,6283,14,0.010654926300048828
881_bac,dt,6283,14,0.026414871215820312
881_bac,sgd,6283,14,0.010667800903320312
881_bac,dt,6283,14,0.02903294563293457
881_bac,sgd,6283,14,0.010625839233398438
881_bac,dt,6283,14,0.0305938720703125
881_bac,sgd,6283,14,0.010742902755737305
881_bac,dt,6283,14,0.028799057006835938
881_bac,sgd,6283,14,0.010811090469360352
881_bac,dt,6829,14,0.03166007995605469
881_bac,sgd,6829,14,0.0116729736328125
881_bac,dt,6829,14,0.0271761417388916
881_bac,sgd,6829,14,0.011643171310424805
881_bac,dt,6829,14,0.03145885467529297
881_bac,sgd,6829,14,0.011911153793334961
881_bac,dt,6829,14,0.02924799919128418
881_bac,sgd,6829,14,0.011511087417602539
881_bac,dt,6829,14,0.029881954193115234
881_bac,sgd,6829,14,0.011565923690795898
881_bac,dt,6829,14,0.03066396713256836
881_bac,sgd,6829,14,0.011677980422973633
881_bac,dt,6829,14,0.02883005142211914
881_bac,sgd,6829,14,0.011630058288574219
881_bac,dt,6829,14,0.03162193298339844
881_bac,sgd,6829,14,0.011630058288574219
881_bac,dt,6829,14,0.03321719169616699
881_bac,sgd,6829,14,0.011655092239379883
881_bac,dt,6829,14,0.03132510185241699
881_bac,sgd,6829,14,0.011443138122558594
881_bac,dt,7375,14,0.03462505340576172
881_bac,sgd,7375,14,0.01240396499633789
881_bac,dt,7375,14,0.03170299530029297
881_bac,sgd,7375,14,0.012372016906738281
881_bac,dt,7375,14,0.03361010551452637
881_bac,sgd,7375,14,0.012284040451049805
881_bac,dt,7375,14,0.03405594825744629
881_bac,sgd,7375,14,0.012349843978881836
881_bac,dt,7375,14,0.033393144607543945
881_bac,sgd,7375,14,0.01244807243347168
881_bac,dt,7375,14,0.031529903411865234
881_bac,sgd,7375,14,0.012700796127319336
881_bac,dt,7375,14,0.03128981590270996
881_bac,sgd,7375,14,0.012246131896972656
881_bac,dt,7375,14,0.03422403335571289
881_bac,sgd,7375,14,0.012331008911132812
881_bac,dt,7375,14,0.03402090072631836
881_bac,sgd,7375,14,0.012453079223632812
881_bac,dt,7375,14,0.033967018127441406
881_bac,sgd,7375,14,0.012459993362426758
881_bac,dt,7922,14,0.03702592849731445
881_bac,sgd,7922,14,0.013197898864746094
881_bac,dt,7922,14,0.036834001541137695
881_bac,sgd,7922,14,0.013143062591552734
881_bac,dt,7922,14,0.038529157638549805
881_bac,sgd,7922,14,0.013058900833129883
881_bac,dt,7922,14,0.03653597831726074
881_bac,sgd,7922,14,0.013150930404663086
881_bac,dt,7922,14,0.03581094741821289
881_bac,sgd,7922,14,0.013341903686523438
881_bac,dt,7922,14,0.03368496894836426
881_bac,sgd,7922,14,0.013402938842773438
881_bac,dt,7922,14,0.03362011909484863
881_bac,sgd,7922,14,0.013214111328125
881_bac,dt,7922,14,0.036878108978271484
881_bac,sgd,7922,14,0.013130903244018555
881_bac,dt,7922,14,0.03873300552368164
881_bac,sgd,7922,14,0.013212203979492188
881_bac,dt,7922,14,0.03681802749633789
881_bac,sgd,7922,14,0.013135910034179688
881_bac,dt,8468,14,0.0397031307220459
881_bac,sgd,8468,14,0.01407003402709961
881_bac,dt,8468,14,0.03919506072998047
881_bac,sgd,8468,14,0.014182090759277344
881_bac,dt,8468,14,0.03907513618469238
881_bac,sgd,8468,14,0.013988971710205078
881_bac,dt,8468,14,0.038388967514038086
881_bac,sgd,8468,14,0.014011859893798828
881_bac,dt,8468,14,0.03852415084838867
881_bac,sgd,8468,14,0.01409602165222168
881_bac,dt,8468,14,0.036306142807006836
881_bac,sgd,8468,14,0.014121055603027344
881_bac,dt,8468,14,0.036295175552368164
881_bac,sgd,8468,14,0.014099836349487305
881_bac,dt,8468,14,0.039361000061035156
881_bac,sgd,8468,14,0.013915061950683594
881_bac,dt,8468,14,0.04146695137023926
881_bac,sgd,8468,14,0.01411294937133789
881_bac,dt,8468,14,0.040228843688964844
881_bac,sgd,8468,14,0.014075040817260742
881_bac,dt,9014,14,0.04255223274230957
881_bac,sgd,9014,14,0.014890193939208984
881_bac,dt,9014,14,0.04274106025695801
881_bac,sgd,9014,14,0.014913082122802734
881_bac,dt,9014,14,0.04189181327819824
881_bac,sgd,9014,14,0.014754056930541992
881_bac,dt,9014,14,0.042742013931274414
881_bac,sgd,9014,14,0.014876842498779297
881_bac,dt,9014,14,0.0411229133605957
881_bac,sgd,9014,14,0.014847993850708008
881_bac,dt,9014,14,0.04143404960632324
881_bac,sgd,9014,14,0.014767885208129883
881_bac,dt,9014,14,0.0387420654296875
881_bac,sgd,9014,14,0.014878988265991211
881_bac,dt,9014,14,0.03878498077392578
881_bac,sgd,9014,14,0.014801025390625
881_bac,dt,9014,14,0.04372692108154297
881_bac,sgd,9014,14,0.014805078506469727
881_bac,dt,9014,14,0.041983842849731445
881_bac,sgd,9014,14,0.014716863632202148
881_bac,dt,9560,14,0.041641950607299805
881_bac,sgd,9560,14,0.015734195709228516
881_bac,dt,9560,14,0.044014930725097656
881_bac,sgd,9560,14,0.015783071517944336
881_bac,dt,9560,14,0.04433703422546387
881_bac,sgd,9560,14,0.01580810546875
881_bac,dt,9560,14,0.04422783851623535
881_bac,sgd,9560,14,0.015716075897216797
881_bac,dt,9560,14,0.04387307167053223
881_bac,sgd,9560,14,0.015951871871948242
881_bac,dt,9560,14,0.047692060470581055
881_bac,sgd,9560,14,0.015750885009765625
881_bac,dt,9560,14,0.041085004806518555
881_bac,sgd,9560,14,0.015705108642578125
881_bac,dt,9560,14,0.04119300842285156
881_bac,sgd,9560,14,0.01572704315185547
881_bac,dt,9560,14,0.04918193817138672
881_bac,sgd,9560,14,0.015661001205444336
881_bac,dt,9560,14,0.047213077545166016
881_bac,sgd,9560,14,0.015846967697143555
881_bac,dt,10107,14,0.04531502723693848
881_bac,sgd,10107,14,0.01645493507385254
881_bac,dt,10107,14,0.0468289852142334
881_bac,sgd,10107,14,0.01700592041015625
881_bac,dt,10107,14,0.04699993133544922
881_bac,sgd,10107,14,0.016576051712036133
881_bac,dt,10107,14,0.04640817642211914
881_bac,sgd,10107,14,0.016457080841064453
881_bac,dt,10107,14,0.050096988677978516
881_bac,sgd,10107,14,0.016532182693481445
881_bac,dt,10107,14,0.04605603218078613
881_bac,sgd,10107,14,0.01648688316345215
881_bac,dt,10107,14,0.04026913642883301
881_bac,sgd,10107,14,0.016487836837768555
881_bac,dt,10107,14,0.04430389404296875
881_bac,sgd,10107,14,0.016585111618041992
881_bac,dt,10107,14,0.05252885818481445
881_bac,sgd,10107,14,0.01649188995361328
881_bac,dt,10107,14,0.05023384094238281
881_bac,sgd,10107,14,0.016544818878173828
881_bac,dt,10653,14,0.053819894790649414
881_bac,sgd,10653,14,0.017503976821899414
881_bac,dt,10653,14,0.049497127532958984
881_bac,sgd,10653,14,0.01790904998779297
881_bac,dt,10653,14,0.04999494552612305
881_bac,sgd,10653,14,0.017275094985961914
881_bac,dt,10653,14,0.04960894584655762
881_bac,sgd,10653,14,0.01735401153564453
881_bac,dt,10653,14,0.052889108657836914
881_bac,sgd,10653,14,0.0173490047454834
881_bac,dt,10653,14,0.045606136322021484
881_bac,sgd,10653,14,0.01721811294555664
881_bac,dt,10653,14,0.041951894760131836
881_bac,sgd,10653,14,0.017296791076660156
881_bac,dt,10653,14,0.04716682434082031
881_bac,sgd,10653,14,0.017302989959716797
881_bac,dt,10653,14,0.05569005012512207
881_bac,sgd,10653,14,0.01745915412902832
881_bac,dt,10653,14,0.0533900260925293
881_bac,sgd,10653,14,0.01716303825378418
881_bac,dt,11199,14,0.05663800239562988
881_bac,sgd,11199,14,0.018169879913330078
881_bac,dt,11199,14,0.05668997764587402
881_bac,sgd,11199,14,0.018449068069458008
881_bac,dt,11199,14,0.05247807502746582
881_bac,sgd,11199,14,0.018067121505737305
881_bac,dt,11199,14,0.053006887435913086
881_bac,sgd,11199,14,0.018259048461914062
881_bac,dt,11199,14,0.0556640625
881_bac,sgd,11199,14,0.018635034561157227
881_bac,dt,11199,14,0.04800009727478027
881_bac,sgd,11199,14,0.01848912239074707
881_bac,dt,11199,14,0.048686981201171875
881_bac,sgd,11199,14,0.017992019653320312
881_bac,dt,11199,14,0.04915213584899902
881_bac,sgd,11199,14,0.018095970153808594
881_bac,dt,11199,14,0.059388160705566406
881_bac,sgd,11199,14,0.018223047256469727
881_bac,dt,11199,14,0.056352853775024414
881_bac,sgd,11199,14,0.018171072006225586
881_bac,dt,11746,14,0.05988192558288574
881_bac,sgd,11746,14,0.019006013870239258
881_bac,dt,11746,14,0.05592489242553711
