# #Data,#Feat,Runtime
3893,54,0.194724
11679,54,0.773621
19464,54,1.510553
27250,54,2.370754
35036,54,3.290620
42821,54,4.341328
50607,54,5.472610
58392,54,6.693649
66178,54,8.039119
73963,54,9.481140
81749,54,11.028856
89534,54,12.690454
97320,54,14.346759
105106,54,16.212513
112891,54,17.994835
120677,54,20.097142
128462,54,21.933851
136248,54,23.831940
144033,54,26.031019
151819,54,28.279922
159604,54,30.611020
167390,54,32.871336
175176,54,35.278014
182961,54,37.694291
190747,54,40.067499
198532,54,42.649906
206318,54,45.307973
214103,54,47.667683
221889,54,50.424991
229675,54,53.295889
237460,54,55.970658
245246,54,58.915883
253031,54,61.146104
260817,54,64.173448
268602,54,67.119856
276388,54,70.125022
284173,54,73.498458
291959,54,76.483764
299745,54,79.488710
307530,54,83.056480
315316,54,86.401829
323101,54,89.665627
330887,54,93.087771
338672,54,97.335373
346458,54,100.120244
354243,54,103.320621
362029,54,106.933477
369815,54,110.768946
377600,54,114.528174
385386,54,116.929853
