# #Data,#Feat,Runtime
661,100,0.070520
1981,100,0.292627
3301,100,0.602217
4621,100,0.982726
5942,100,1.408572
7262,100,1.848440
8582,100,2.343233
9902,100,2.861340
11223,100,3.438890
12543,100,4.048964
13863,100,4.621722
15183,100,5.227757
16503,100,5.887106
17824,100,6.517088
19144,100,7.236145
20464,100,7.960193
21784,100,8.598509
23105,100,9.294471
24425,100,10.033516
25745,100,10.806149
27065,100,11.582198
28386,100,12.471152
29706,100,13.274259
31026,100,14.052247
32346,100,14.748869
33667,100,15.737337
34987,100,16.565359
36307,100,17.496020
37627,100,18.383996
38948,100,19.257924
40268,100,20.189966
41588,100,21.126352
42908,100,22.079600
44229,100,23.026448
45549,100,23.979901
46869,100,25.040242
48189,100,26.015471
49509,100,27.018130
50830,100,28.044262
52150,100,29.091025
53470,100,30.203140
54790,100,31.470643
56111,100,32.634281
57431,100,33.618346
58751,100,34.775565
60071,100,35.759001
61392,100,37.145791
62712,100,38.162377
64032,100,38.929113
65352,100,39.654722
