,Dimensons,Dimensons,a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N)),a + bKN^2(log(N))
,N,K,true,pred.,%diff,%uncertainity
1119_bac__rf,21597.0,108.0,0.351,1.1129647991743128,217.08398836875008,9.163220220466409
1120_bac__rf,12616.0,10.0,0.461,1.3722395130620932,197.66583797442368,7.459742339007319
1128_bac__rf,1025.0,10935.0,0.9374,1.6843408645649016,79.6821916540326,3.7200161077452494
1130_bac__rf,1025.0,10935.0,0.9202,1.687565716296821,83.39118846955236,3.125981353421017
1134_bac__rf,1025.0,10935.0,0.7626,1.3266172737239534,73.95977887804268,4.389602982054876
1138_bac__rf,1025.0,10935.0,1.0762,1.929556427691252,79.29347962193384,4.242003749507621
1139_bac__rf,1025.0,10935.0,0.9822,2.0532913155326713,109.05022556838438,2.8993363766975886
1142_bac__rf,1025.0,10935.0,0.9035,1.662326657463635,83.9874551702972,3.2945929475546576
1146_bac__rf,1025.0,10935.0,0.4483,0.9203473349303637,105.2971971738487,4.399405053486819
1161_bac__rf,1025.0,10935.0,0.9363,1.6513799219879082,76.37294905349869,2.566325461027503
1166_bac__rf,1025.0,10935.0,1.0213,1.9347480544100333,89.43973900029698,3.3529631761184975
12_bac__rf,1327.0,216.0,0.0812,0.20338659928098485,150.4761074888976,5.803251531071024
14_bac__rf,1327.0,76.0,0.0859,0.1949525146185273,126.95286917174307,5.0250822090564595
16_bac__rf,1327.0,64.0,0.0819,0.18404478796423948,124.71891082324724,5.467250414091722
179_bac__rf,32397.0,124.0,0.6221,1.6754626981486125,169.3236936422782,112.62561625645914
180_bac__rf,73223.0,93.0,1.9756,6.439923163330043,225.973029121788,8.301522546074153
181_bac__rf,982.0,8.0,0.0217,0.044683894877594846,105.91656625619744,91.51433209283343
182_bac__rf,4265.0,36.0,0.0987,0.32150275681723484,225.73734226670194,7.283022593917413
184_bac__rf,18610.0,40.0,0.2609,0.9359916437059712,258.75494201072104,9.10281594417249
185_bac__rf,889.0,22.0,0.0217,0.04324581336175751,99.28946249657837,94.41181334331425
18_bac__rf,1327.0,6.0,0.0255,0.04783036080848545,87.57004238621745,6.370348250167915
21_bac__rf,1146.0,21.0,0.0166,0.034754500345575846,109.36445991310751,138.86147603550782
22_bac__rf,1327.0,47.0,0.0696,0.1559084928601187,124.00645525879126,4.982346110201713
23_bac__rf,977.0,24.0,0.0199,0.046247022328669715,132.39709712899352,117.38668940504023
24_bac__rf,5389.0,117.0,0.0393,0.11318110581263237,187.9926356555531,7.4056867906384705
26_bac__rf,8596.0,27.0,0.0566,0.18730310906266492,230.92422095877197,8.498318937729477
28_bac__rf,3728.0,64.0,0.0714,0.23194694415729186,224.85566408584296,8.35245687982657
300_bac__rf,5172.0,617.0,1.1882,3.9257900677034603,230.39808682910794,7.104437359400546
30_bac__rf,3630.0,10.0,0.0781,0.22024402894739023,182.00259788398236,8.344391314790233
31_bac__rf,664.0,61.0,0.0183,0.025059222819248106,36.935643821027895,1.8080932778043428
32_bac__rf,7291.0,16.0,0.1137,0.4071634938884888,258.1033367532883,9.57617199715486
36_bac__rf,1532.0,19.0,0.0344,0.07687381123797615,123.47038150574464,5.491696762141868
38_bac__rf,2502.0,54.0,0.0264,0.0711094804662678,169.35409267525685,96.90318940882324
3_bac__rf,2120.0,72.0,0.0254,0.05600585003663351,120.49547258517131,7.897789354074255
44_bac__rf,3052.0,57.0,0.0566,0.15653009819450647,176.55494380654852,6.604468198336193
46_bac__rf,2116.0,285.0,0.0502,0.12987665965038653,158.71844551869827,8.157275939284888
554_bac__rf,46431.0,784.0,4.0581,12.96398272797879,219.45942012219487,8.349298125664548
57_bac__rf,2502.0,53.0,0.025,0.08266912061970051,230.67648247880203,91.33881586953026
60_bac__rf,3318.0,40.0,0.1415,0.4373543030405981,209.08431310289623,6.856847218249511
679_bac__rf,681.0,2.0,0.0155,0.020088879077729105,29.60567146922003,3.702397413677558
6_bac__rf,13268.0,16.0,0.1869,0.7126582115331617,281.3045540573363,10.232475402410223
715_bac__rf,664.0,25.0,0.0282,0.0409081730003739,45.06444326373724,3.05683040507317
718_bac__rf,664.0,100.0,0.0464,0.07456832412573139,60.70759509855903,2.4775237630893816
720_bac__rf,2771.0,10.0,0.0458,0.1249326639732166,172.77874229959957,6.628431628816665
722_bac__rf,9950.0,48.0,0.0982,0.3301182604621541,236.16930800626687,8.777624336118935
723_bac__rf,664.0,25.0,0.0284,0.04096116043702003,44.22943815852122,2.443680146316321
727_bac__rf,27041.0,10.0,0.1473,0.5009510144935531,240.08894398747665,9.544468291678228
728_bac__rf,2687.0,7.0,0.0179,0.035933258423605514,100.74446046706993,12.317674590540959
734_bac__rf,9120.0,40.0,0.1471,0.4997507225830218,239.73536545412762,8.225478173727247
735_bac__rf,5434.0,12.0,0.101,0.3162376727102126,213.1066066437748,7.8679895555642725
737_bac__rf,2061.0,6.0,0.0415,0.09382236237127124,126.07798161752105,6.03637971686945
