# Name,#Data,#Feat,Runtime
24_bac__dt,5389.0,117.0,0.0340556144714
901_bac__dt,27041.0,10.0,0.291146707535
991_bac__dt,1146.0,21.0,0.00216405391693
1053_bac__dt,7220.0,21.0,0.104746866226
806_bac__dt,664.0,50.0,0.0291671037674
897_bac__dt,770.0,69.0,0.00549509525299
300_bac__dt,5172.0,617.0,4.00021739006
741_bac__dt,680.0,5.0,0.00170030593872
46_bac__dt,2116.0,285.0,0.0514754056931
1067_bac__dt,1399.0,21.0,0.0145665884018
797_bac__dt,664.0,50.0,0.0313307285309
23_bac__dt,977.0,24.0,0.00474743843079
723_bac__dt,664.0,25.0,0.013215303421
28_bac__dt,3728.0,64.0,0.0574177742004
807_bac__dt,5434.0,8.0,0.0586240530014
1130_bac__dt,1025.0,10935.0,12.2512272358
180_bac__dt,73223.0,93.0,1.7403668642
846_bac__dt,11010.0,18.0,0.0943742275238
32_bac__dt,7291.0,16.0,0.0510041952133
995_bac__dt,1327.0,47.0,0.0538287401199
1068_bac__dt,736.0,21.0,0.00676727294922
1166_bac__dt,1025.0,10935.0,14.7211645603
36_bac__dt,1532.0,19.0,0.0140879154205
803_bac__dt,4729.0,5.0,0.0138561725616
1021_bac__dt,3630.0,10.0,0.0341821193695
816_bac__dt,5434.0,8.0,0.0627624988556
1139_bac__dt,1025.0,10935.0,9.92319164276
727_bac__dt,27041.0,10.0,0.0389236927032
1112_bac__dt,33165.0,57884.0,540.829761195
881_bac__dt,27041.0,14.0,0.143682861328
31_bac__dt,664.0,61.0,0.0060507774353
30_bac__dt,3630.0,10.0,0.035343003273
14_bac__dt,1327.0,76.0,0.113426423073
979_bac__dt,3317.0,40.0,0.127584218979
6_bac__dt,13268.0,16.0,0.0784690141678
1002_bac__dt,4964.0,253.0,0.105630612373
971_bac__dt,1327.0,76.0,0.049634885788
980_bac__dt,3728.0,64.0,0.0367071866989
799_bac__dt,664.0,5.0,0.00336790084839
977_bac__dt,13266.0,16.0,0.0388976573944
912_bac__dt,664.0,5.0,0.00320572853088
740_bac__dt,664.0,10.0,0.0056519985199
1146_bac__dt,1025.0,10935.0,2.93154122829
728_bac__dt,2687.0,7.0,0.00223422050476
823_bac__dt,13690.0,8.0,0.0570546865463
1036_bac__dt,9548.0,216.0,0.407110500336
185_bac__dt,889.0,22.0,0.0111672878265
958_bac__dt,1532.0,19.0,0.00839059352875
18_bac__dt,1327.0,6.0,0.00613875389099
837_bac__dt,664.0,50.0,0.029421210289
21_bac__dt,1146.0,21.0,0.00230071544647
1041_bac__dt,2299.0,784.0,0.379286789894
1119_bac__dt,21597.0,108.0,0.419571113586
761_bac__dt,5434.0,21.0,0.103838205338
1018_bac__dt,5866.0,277.0,0.127750301361
60_bac__dt,3318.0,40.0,0.154599499702
962_bac__dt,1327.0,6.0,0.00388014316559
12_bac__dt,1327.0,216.0,0.150326490402
1111_bac__dt,33165.0,57616.0,1006.46493492
904_bac__dt,664.0,50.0,0.0312175035477
715_bac__dt,664.0,25.0,0.0139200687408
1116_bac__dt,4376.0,266.0,0.600954461098
821_bac__dt,15113.0,16.0,0.368052315712
1049_bac__dt,967.0,37.0,0.0111294746399
903_bac__dt,664.0,25.0,0.0157567024231
720_bac__dt,2771.0,10.0,0.0159646987915
819_bac__dt,6313.0,6.0,0.0213370323181
959_bac__dt,8597.0,27.0,0.00711381435394
847_bac__dt,4360.0,14.0,0.0444385051727
26_bac__dt,8596.0,27.0,0.0181268692017
16_bac__dt,1327.0,64.0,0.0860835313797
554_bac__dt,46431.0,784.0,17.6160732746
978_bac__dt,1327.0,216.0,0.0888221025467
1161_bac__dt,1025.0,10935.0,12.889397645
953_bac__dt,2116.0,285.0,0.0481485366821
1142_bac__dt,1025.0,10935.0,9.83956263065
913_bac__dt,664.0,10.0,0.00589647293091
57_bac__dt,2502.0,53.0,0.00594685077667
976_bac__dt,6607.0,14.0,0.0856240987778
718_bac__dt,664.0,100.0,0.0604918956757
743_bac__dt,664.0,5.0,0.00317828655243
179_bac__dt,32397.0,124.0,0.795695924759
1050_bac__dt,1037.0,37.0,0.0171849966049
871_bac__dt,2553.0,5.0,0.025883102417
679_bac__dt,681.0,2.0,0.00141088962555
1019_bac__dt,7291.0,16.0,0.030270075798
1020_bac__dt,1327.0,64.0,0.0952889204025
930_bac__dt,864.0,83.0,0.0235313892365
182_bac__dt,4265.0,36.0,0.0769261598587
1138_bac__dt,1025.0,10935.0,13.8080905676
1120_bac__dt,12616.0,10.0,0.249480605125
923_bac__dt,5732.0,5.0,0.00541572570801
1040_bac__dt,9548.0,108.0,0.186057758331
1134_bac__dt,1025.0,10935.0,6.6494976759
734_bac__dt,9120.0,40.0,0.122293615341
934_bac__dt,767.0,39.0,0.00320119857788
751_bac__dt,664.0,10.0,0.00566461086273
752_bac__dt,5434.0,32.0,0.219731426239
735_bac__dt,5434.0,12.0,0.0540995597839
866_bac__dt,664.0,50.0,0.0282048225403
3_bac__dt,2120.0,72.0,0.00857930183411
1114_bac__dt,33165.0,57775.0,304.988172174
181_bac__dt,982.0,8.0,0.00496253967285
22_bac__dt,1327.0,47.0,0.0773827314377
843_bac__dt,15113.0,8.0,0.161067700386
993_bac__dt,4655.0,664.0,0.333317685127
914_bac__dt,1327.0,1.0,0.000931477546692
822_bac__dt,13690.0,8.0,0.118527722359
1000_bac__dt,2502.0,53.0,0.00593433380127
833_bac__dt,5434.0,32.0,0.238671255112
38_bac__dt,2502.0,54.0,0.0100114822388
1128_bac__dt,1025.0,10935.0,16.1957741737
845_bac__dt,664.0,10.0,0.00573318004608
772_bac__dt,1445.0,3.0,0.00701479911804
184_bac__dt,18610.0,40.0,0.118425297737
966_bac__dt,889.0,22.0,0.00962567329407
1069_bac__dt,3707.0,36.0,0.0202326059341
1056_bac__dt,6279.0,38.0,0.0470040082932
849_bac__dt,664.0,25.0,0.0165505647659
737_bac__dt,2061.0,6.0,0.0143690109253
