# Name,#Data,#Feat,Runtime
24_bac__sgd,5389.0,117.0,0.0330209493637
901_bac__sgd,27041.0,10.0,0.0443525791168
991_bac__sgd,1146.0,21.0,0.00308375358582
1053_bac__sgd,7220.0,21.0,0.0169482946396
806_bac__sgd,664.0,50.0,0.00366461277008
897_bac__sgd,770.0,69.0,0.0040745973587
300_bac__sgd,5172.0,617.0,2.37775108814
741_bac__sgd,680.0,5.0,0.00194807052612
46_bac__sgd,2116.0,285.0,0.0640309333801
1067_bac__sgd,1399.0,21.0,0.00375988483429
797_bac__sgd,664.0,50.0,0.00362598896027
23_bac__sgd,977.0,24.0,0.00688359737396
723_bac__sgd,664.0,25.0,0.00273241996765
28_bac__sgd,3728.0,64.0,0.0957669019699
807_bac__sgd,5434.0,8.0,0.00981872081757
1130_bac__sgd,1025.0,10935.0,0.587420129776
180_bac__sgd,73223.0,93.0,3.59539911747
846_bac__sgd,11010.0,18.0,0.0209675073624
32_bac__sgd,7291.0,16.0,0.0893398284912
995_bac__sgd,1327.0,47.0,0.0049122095108
1068_bac__sgd,736.0,21.0,0.00239279270172
1166_bac__sgd,1025.0,10935.0,0.604649925232
36_bac__sgd,1532.0,19.0,0.0147072792053
803_bac__sgd,4729.0,5.0,0.00620563030243
1021_bac__sgd,3630.0,10.0,0.00596187114716
816_bac__sgd,5434.0,8.0,0.00939948558807
1139_bac__sgd,1025.0,10935.0,0.594923615456
727_bac__sgd,27041.0,10.0,0.0456163644791
1112_bac__sgd,33165.0,57884.0,1.75175538063
881_bac__sgd,27041.0,14.0,0.0425156831741
31_bac__sgd,664.0,61.0,0.00395104885101
30_bac__sgd,3630.0,10.0,0.0198497056961
14_bac__sgd,1327.0,76.0,0.0403846979141
979_bac__sgd,3317.0,40.0,0.0108152866364
6_bac__sgd,13268.0,16.0,0.412352538109
1002_bac__sgd,4964.0,253.0,0.0691477298737
971_bac__sgd,1327.0,76.0,0.00634534358978
980_bac__sgd,3728.0,64.0,0.0142170906067
799_bac__sgd,664.0,5.0,0.00189957618713
977_bac__sgd,13266.0,16.0,0.0216482877731
912_bac__sgd,664.0,5.0,0.00192010402679
740_bac__sgd,664.0,10.0,0.00216901302338
1146_bac__sgd,1025.0,10935.0,0.586461663246
728_bac__sgd,2687.0,7.0,0.00473036766052
823_bac__sgd,13690.0,8.0,0.0185627698898
1036_bac__sgd,9548.0,216.0,0.110757493973
185_bac__sgd,889.0,22.0,0.00497062206268
958_bac__sgd,1532.0,19.0,0.00347819328308
18_bac__sgd,1327.0,6.0,0.0133903264999
837_bac__sgd,664.0,50.0,0.003599858284
21_bac__sgd,1146.0,21.0,0.00749146938324
1041_bac__sgd,2299.0,784.0,0.519800758362
1119_bac__sgd,21597.0,108.0,0.186147809029
761_bac__sgd,5434.0,21.0,0.0110319852829
1018_bac__sgd,5866.0,277.0,0.0905650615692
60_bac__sgd,3318.0,40.0,0.024418091774
962_bac__sgd,1327.0,6.0,0.00246839523315
12_bac__sgd,1327.0,216.0,0.0888158082962
1111_bac__sgd,33165.0,57616.0,1.63628306389
904_bac__sgd,664.0,50.0,0.00336818695068
715_bac__sgd,664.0,25.0,0.00273728370667
1116_bac__sgd,4376.0,266.0,0.053174161911
821_bac__sgd,15113.0,16.0,0.0285770177841
1049_bac__sgd,967.0,37.0,0.00355980396271
903_bac__sgd,664.0,25.0,0.00266308784485
720_bac__sgd,2771.0,10.0,0.00523376464844
819_bac__sgd,6313.0,6.0,0.00913004875183
959_bac__sgd,8597.0,27.0,0.0186765670776
847_bac__sgd,4360.0,14.0,0.00849041938782
26_bac__sgd,8596.0,27.0,0.0715368270874
16_bac__sgd,1327.0,64.0,0.0346886873245
554_bac__sgd,46431.0,784.0,11.8764160872
978_bac__sgd,1327.0,216.0,0.0139095544815
1161_bac__sgd,1025.0,10935.0,0.59744811058
953_bac__sgd,2116.0,285.0,0.0295639753342
1142_bac__sgd,1025.0,10935.0,0.59005510807
913_bac__sgd,664.0,10.0,0.0021226644516
57_bac__sgd,2502.0,53.0,0.024692606926
976_bac__sgd,6607.0,14.0,0.0111055374146
718_bac__sgd,664.0,100.0,0.00537648200989
743_bac__sgd,664.0,5.0,0.00195753574371
179_bac__sgd,32397.0,124.0,0.350970029831
1050_bac__sgd,1037.0,37.0,0.00380232334137
871_bac__sgd,2553.0,5.0,0.00456409454346
679_bac__sgd,681.0,2.0,0.00382237434387
1019_bac__sgd,7291.0,16.0,0.0123521327972
1020_bac__sgd,1327.0,64.0,0.00574221611023
930_bac__sgd,864.0,83.0,0.00573585033417
182_bac__sgd,4265.0,36.0,0.0496603965759
1138_bac__sgd,1025.0,10935.0,0.599439525604
1120_bac__sgd,12616.0,10.0,0.0215332984924
923_bac__sgd,5732.0,5.0,0.00702636241913
1040_bac__sgd,9548.0,108.0,0.0576086759567
1134_bac__sgd,1025.0,10935.0,0.588536119461
734_bac__sgd,9120.0,40.0,0.0272994279861
934_bac__sgd,767.0,39.0,0.00314602851868
751_bac__sgd,664.0,10.0,0.00216443538666
752_bac__sgd,5434.0,32.0,0.0172109127045
735_bac__sgd,5434.0,12.0,0.0092392206192
866_bac__sgd,664.0,50.0,0.00355806350708
3_bac__sgd,2120.0,72.0,0.00980896949768
1114_bac__sgd,33165.0,57775.0,1.62180416584
181_bac__sgd,982.0,8.0,0.0112586021423
22_bac__sgd,1327.0,47.0,0.0299594402313
843_bac__sgd,15113.0,8.0,0.022026181221
993_bac__sgd,4655.0,664.0,0.156497430801
914_bac__sgd,1327.0,1.0,0.00214745998383
822_bac__sgd,13690.0,8.0,0.0210396528244
1000_bac__sgd,2502.0,53.0,0.0089625120163
833_bac__sgd,5434.0,32.0,0.0149922847748
38_bac__sgd,2502.0,54.0,0.00884833335876
1128_bac__sgd,1025.0,10935.0,0.60143597126
845_bac__sgd,664.0,10.0,0.00205707550049
772_bac__sgd,1445.0,3.0,0.00282800197601
184_bac__sgd,18610.0,40.0,0.695375657082
966_bac__sgd,889.0,22.0,0.00267355442047
1069_bac__sgd,3707.0,36.0,0.00959832668304
1056_bac__sgd,6279.0,38.0,0.0164092063904
849_bac__sgd,664.0,25.0,0.00260410308838
737_bac__sgd,2061.0,6.0,0.00365772247314
813_bac__sgd,664.0,5.0,0.00199172496796
722_bac__sgd,9950.0,48.0,0.036843252182
44_bac__sgd,3052.0,57.0,0.0119500398636
917_bac__sgd,664.0,25.0,0.00270652770996
910_bac__sgd,664.0,10.0,0.00215857028961
